title,year,authors,venue,doi,openalex_url,arxiv_id,arxiv_url,missing_affiliation,missing_coordinates,needs_review,coverage_status,task,subtask,notes
Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,"['Jiazhen Yang', 'Junjun Zheng', 'Kejia Chen', 'Xiangheng Kong', 'Jie Lei', 'Zunlei Feng', 'Hu Bingde', 'Yang Gao']",ArXiv.org,,https://openalex.org/W7155245437,2604.16879,https://arxiv.org/abs/2604.16879,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,"['Haoyue Wang', 'Sheng Li', 'Zhenxing Qian', 'Xinpeng Zhang']",IEEE Transactions on Information Forensics and Security,https://doi.org/10.1109/tifs.2026.3657841,https://openalex.org/W7125828141,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,"['Yiheng Li', 'Zichang Tan', 'Guoqing Xu', 'Yijun Ye', 'Yang Yang', 'Zhen Lei']",ArXiv.org,,https://openalex.org/W7133363592,2603.01878,https://arxiv.org/abs/2603.01878,True,False,True,missing_affiliation,detection,medical_synthetic_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,"['Yuxuan Shi', 'Shaowei Weng', 'Lifang Yu', 'Rongrong Ni']",IEEE Transactions on Circuits and Systems for Video Technology,https://doi.org/10.1109/tcsvt.2026.3656696,https://openalex.org/W7125581744,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Detecting AI-Generated Images via Diffusion Snap-Back Reconstruction: A Forensic Approach,2026,"['Mohd Ruhul Ameen', 'Akif Islam']","2026 IEEE 2nd International Conference on Quantum Photonics, Artificial Intelligence &amp;amp; Networking (QPAIN)",10.1109/qpain69676.2026.11545865,https://openalex.org/W4415936841,2511.00352,https://arxiv.org/abs/2511.00352,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford's Law and Topological Analysis with Machine Learning Ensembles,2026,"['Md Abu Sayeb Rayhan', 'Ajoy Shutradhar', 'Hustagna Hiya']",,https://doi.org/10.1109/qpain69676.2026.11546484,https://openalex.org/W7164298589,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,"['Stijn van Lierop', 'Ivona Najdenkoska', 'Marcel Worring', 'Zeno Geradts']",Forensic Science International Synergy,https://doi.org/10.1016/j.fsisyn.2026.100704,https://openalex.org/W7164742316,,,True,False,True,missing_affiliation,detection,generated_video_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,"['Nimra Nasir', 'Syeda Sitara Waseem', 'Muhammad Bilal', 'Syed Rizwan Hassan']",Sensors,https://doi.org/10.3390/s26041172,https://openalex.org/W7128586659,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,"['Yawen Yang', 'Feng Li', 'Shuqi Kong', 'Yunfeng Diao', 'Xinjian Gao', 'Zenglin Shi', 'Meng Wang']",arXiv (Cornell University),https://doi.org/10.48550/arxiv.2603.10598,https://openalex.org/W7135092069,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Light2Lie: Detecting Deepfake Images Using Physical Reflectance Laws,2026,"['Kavita Kumari', 'Sasha Behrouzi', 'Alessandro Pegoraro', 'Ahmad‐Reza Sadeghi']",,https://doi.org/10.14722/ndss.2026.230923,https://openalex.org/W7160998329,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
