location_id,institution_id,institution,field,previous_value,english_value,status,evidence_basis
location:3c4903b35459f2b51c15,institution:3c4903b35459f2b5,University of Trento,region,Trentino-Alto Adige/Südtirol,Trentino-South Tyrol,normalized,reviewed English geographic alias table
location:bc52939c5da8ad9830b6,institution:bc52939c5da8ad98,Jaume I University,country,España,Spain,normalized,canonical country-code registry
location:141dbbea6bba3a377d2f,institution:141dbbea6bba3a37,Everest English Boarding Secondary School,country,Nepel,Nepal,normalized,canonical country-code registry
location:3391e7c855fa0e6ed63b,institution:3391e7c855fa0e6e,University of Shanghai for Science and Technology,country,CN,China,normalized,canonical country-code registry
location:f96a37d986b90bb9be36,institution:8b4dcb3a02140b15,Henan University,country,中国,China,normalized,canonical country-code registry
location:a3314ec38e3d7af2d2ed,institution:7365674b49d794c0,Université de Montréal,city,Montréal,Montreal,normalized,reviewed English geographic alias table
location:a3314ec38e3d7af2d2ed,institution:7365674b49d794c0,Université de Montréal,region,Québec,Quebec,normalized,reviewed English geographic alias table
location:cb598c73c9cecae65c91,institution:f138c3615bfbd805,McGill University,city,Montréal,Montreal,normalized,reviewed English geographic alias table
location:cb598c73c9cecae65c91,institution:f138c3615bfbd805,McGill University,region,Québec,Quebec,normalized,reviewed English geographic alias table
location:a347635ea8ddea4aff4f,institution:aee00ab2f1fd8132,Peng Cheng Laboratory,country,中国,China,normalized,canonical country-code registry
