title,year,expected_task,source_doc,section,notes,checklist_row,doi,arxiv_id,openalex_url,in_openalex_candidate_papers,in_candidate_map,in_public_preview,in_public_preview_paper_list,covered_as_map_marker,map_record_count,missing_affiliation,missing_coordinates,marker_diagnostics,missing_stage,coverage_status,recommended_action,match_method,matched_public_title,matched_public_paper_id,manual_review,identity_review,exclusion_evidence,reconciliation_classification,reconciliation_evidence,reconciliation_reason,resolved_title,resolved_year,best_openalex_title_match,best_openalex_title_score,best_public_preview_title_match,best_public_preview_title_score,best_public_preview_paper_title_match,best_public_preview_paper_title_score
Do GANs Leave Artificial Fingerprints?,2019,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=MIPR 2019; source_suffix=MIPR，2019,1,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Do GANs Leave Artificial Fingerprints?,,no,,,,,,Do GANs Leave Artificial Fingerprints?,2019,,0.000,,0.000,,0.000
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ICCV 2019,2,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,curated:170f07b3d7020611e566,no,ambiguous exact title: Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints | Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,,,,,Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,,0.000,,0.000,,0.000
Incremental learning for the detection and classification of GAN-generated images,2019,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WIFS, 2019; title_normalized=singular_plural; source_suffix=WIFS, 2019",3,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Incremental learning for the detection and classification of GAN-generated images,,no,ambiguous exact title: Incremental learning for the detection and classification of GAN-generated images | Incremental learning for the detection and classification of GAN-generated images,,,,,Incremental learning for the detection and classification of GAN-generated images,2019,,0.000,,0.000,,0.000
Source Generator Attribution via Inversion,2019,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR Workshops 2019,4,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Source Generator Attribution via Inversion,curated:fb05dfbc95518f6fb1db,no,ambiguous exact title: Source Generator Attribution via Inversion | Source Generator Attribution via Inversion,,,,,Source Generator Attribution via Inversion,2019,,0.000,,0.000,,0.000
Scalable fine-grained generated image classification based on deep metric learning,2019,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 2019",5,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Scalable Fine-Grained Generated Image Classification Based on Deep Metric Learning,,no,,,,,,Scalable fine-grained generated image classification based on deep metric learning,2019,,0.000,,0.000,,0.000
Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,Identification | Detection,"source_suffix=ICML, 2020",6,10.48550/arxiv.2003.08685,2003.08685,https://openalex.org/W3012033723,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Leveraging Frequency Analysis for Deep Fake Image Recognition,curated:dcf7aae2c8590b07aff3,no,,,SAME_PAPER_METADATA_CONFLICT,https://proceedings.mlr.press/v119/frank20a.html; https://arxiv.org/abs/2003.08685,"ACM catalogue DOI 10.5555/3524938.3525242 and arXiv DOI name the same ICML 2020 work; PMLR confirms title and all six authors. Resolve checklist to the existing arXiv identity, preserving both source identifiers in this evidence record.",Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,,0.000,,0.000,,0.000
Towards discovery and attribution of open-world gan generated images,2021,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ICCV 2021,7,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Towards Discovery and Attribution of Open-world GAN Generated Images,,no,,,,,,Towards discovery and attribution of open-world gan generated images,2021,,0.000,,0.000,,0.000
Does a GAN leave distinct model-specific fingerprints?,2021,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=BMVC 2021,8,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Does a GAN Leave Distinct Model-Specific Fingerprints?,curated:07ee620b8169b67b900f,no,,,,,,Does a GAN leave distinct model-specific fingerprints?,2021,,0.000,,0.000,,0.000
On attribution of deepfakes,2021,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=arXiv 20210303,9,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,On Attribution of Deepfakes,curated:4b5ef3aeb56177a90939,no,,,,,,On attribution of deepfakes,2021,,0.000,,0.000,,0.000
Learning to disentangle gan fingerprint for fake image attribution,2021,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=arXiv, 20210616",10,,,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Learning to Disentangle GAN Fingerprint for Fake Image Attribution,,no,,,,,,Learning to disentangle gan fingerprint for fake image attribution,2021,,0.000,,0.000,,0.000
