priority_rank,mapping_status,priority,triage_status,suggested_action,public_impact,current_mapping_state,known_canonical_institutions,existing_mapping_authors,suggested_author_matches,raw_affiliation_evidence,paper_id,title,year,venue,is_key_paper,is_curated_paper,total_authors,mapped_authors,missing_authors,missing_author_names,marker_count,doi,arxiv_id,openalex_id,url
1,zero,high,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; map markers blocked,confirmed,Centre for Research and Technology Hellas (CERTH),Manos Schinas; Symeon Papadopoulos,Manos Schinas → Manos Schinas | Symeon Papadopoulos → Symeon Papadopoulos,"Information Technologies Institute @ CERTH Thessaloniki, Greece",curated:960c6a53879767054f0c,SIDBench: A Python Framework for Reliably Assessing Synthetic Image Detection Methods,2024,ACM International Workshop on Multimedia AI against Disinformation,true,true,2,0,2,Manos Schinas; Symeon Papadopoulos,0,10.1145/3643491.3660277,2404.18552,W4399261681,https://doi.org/10.1145/3643491.3660277
2,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W7137976262,SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,AAAI Conference on Artificial Intelligence,true,false,9,1,8,Shuaibo Li; Yijun Yang; Zhaohu Xing; Hongqiu Wang; Pengfei Hao; Xingyu Li; Zekai Liu; Lei Zhu,1,https://doi.org/10.1609/aaai.v40i8.37568,,W7137976262,https://doi.org/10.1609/aaai.v40i8.37568
3,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,The Hong Kong University of Science and Technology | The University of Hong Kong | Beijing University of Technology | Beijing Normal University | Beijing University of Posts and Telecommunications | The Hong Kong University of Science and Technology (Guangzhou) | Anqing Normal University,Shuaibo Li | Liang Zhang; Wei Ma | Jianwei Guo | Shibiao Xu | Zhijie Qiu | Hongbin Zha,Liang Zhang → Liang Zhang | Wei Ma → Wei Ma | Zhijie Qiu → Zhijie Qiu | Hongbin Zha → Hongbin Zha,"College of Computer Science, Beijing University of Technology The Hong Kong University of Science and Technology (Guangzhou) | College of Computer Science, Beijing University of Technology | School of Artificial Intelligence, Beijing Normal University | School of Artificial Intelligence, Beijing University of Posts and Telecommunications | The Hong Kong University of Science and Technology (Guangzhou) | Anqing Normal University School of IST, Peking University",curated:08aa2b51bb36247bdda3,RealNet: Efficient and Unsupervised Detection of AI-Generated Images via Real-Only Representation Learning,2026,AAAI Conference on Artificial Intelligence,false,true,7,3,4,Liang Zhang; Wei Ma; Zhijie Qiu; Hongbin Zha,3,10.1609/aaai.v40i45.41234,,W7139096423,https://doi.org/10.1609/aaai.v40i45.41234
4,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,University of Science and Technology of China | Peptidream (Japan),Yurui Qian; Yan Chen | Qi Cai; Yingwei Pan; Ting Yao; Tao Mei,Qi Cai → Qi Cai | Yingwei Pan → Yingwei Pan | Ting Yao → Ting Yao | Tao Mei → Tao Mei,University of Science and Technology of China | HiDream.ai,curated:03f893b9484ea2d09c22,Universal Denoising Patterns for Diffusion Image Detection,2026,"IEEE International Conference on Acoustics, Speech and Signal Processing",false,true,6,2,4,Qi Cai; Yingwei Pan; Ting Yao; Tao Mei,1,10.1109/icassp55912.2026.11462468,,W7155094400,https://doi.org/10.1109/icassp55912.2026.11462468
5,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W3045755384,Deep Learning for Deepfakes Creation and Detection: A Survey,2020,Figshare,false,false,5,1,4,Minh Chau Nguyen; Dung T. Nguyen; Duc Thanh Nguyen; Saeid Nahavandi,1,10.6084/m9.figshare.12731039.v1,1909.11573,W3045755384,https://doi.org/10.6084/m9.figshare.12731039.v1
6,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4411960917,RADAR: Reasoning AI-Generated Image Detection for Semantic Fakes,2025,Technologies,false,false,7,4,3,Haochen Wang; Xiaolong Jiang; Efstratios Gavves,3,10.3390/technologies13070280,,W4411960917,https://doi.org/10.3390/technologies13070280
7,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4297477523,The Face Deepfake Detection Challenge,2022,Journal of Imaging,false,false,20,17,3,A. Paratore; Linh M. Q. Bui; Marco Fontani,6,10.3390/jimaging8100263,,W4297477523,https://doi.org/10.3390/jimaging8100263
8,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,"China Telecom Cloud Technology Co., Ltd. | Institute of Automation, Chinese Academy of Sciences | University of Chinese Academy of Sciences | Peking University",Yuming Fan; Dongming Yang | Jiguang Zhang | Bang Yang; Yuexian Zou,Yuming Fan → Yuming Fan | Dongming Yang → Dongming Yang,"China Telecom Cloud Technology Co., Ltd, Beijing, China | Institute of Automation, Chinese Academy of Sciences; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China | School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China | Institute of Automation, Chinese Academy of Sciences | Peking University, Beijing, China",curated:40db3b79c5d83b80e5a4,Fake-GPT: Detecting Fake Image via Large Language Model,2024,Pattern Recognition and Computer Vision: 7th Chinese Conference,true,true,5,3,2,Yuming Fan; Dongming Yang,2,10.1007/978-981-97-8685-5_9,,W4404007821,https://doi.org/10.1007/978-981-97-8685-5_9
9,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W2975558816,Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,Electronic Imaging,true,false,7,5,2,Arjuna Flenner; Amit K. Roy–Chowdhury,3,10.2352/issn.2470-1173.2019.5.mwsf-532,1903.06836,W2975558816,https://doi.org/10.2352/issn.2470-1173.2019.5.mwsf-532
10,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,Guizhou Normal University | Xi'an Jiaotong University | Harbin Institute of Technology,Jiaming Li; Weihua Ou | Deyu Meng | Yang Xu,Jiaming Li → Jiaming Li | Weihua Ou → Weihua Ou,"School of Big Data and Computer Science, Guizhou Normal University, Guiyang, China | School of Mathematics and Statistics and Ministry of Education Key Laboratory of Intelligent Networks and Network Security, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China | School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen, China",curated:0526c3529dda4446a0d7,Background-Noise-Driven Detection of Diffusion-Generated Images,2026,IEEE Signal Processing Letters,false,true,4,2,2,Jiaming Li; Weihua Ou,2,10.1109/lsp.2026.3678476,,W7143319968,https://doi.org/10.1109/lsp.2026.3678476
