paper_id,title,normalized_title,year,publication_status,venue,tasks,image_scopes,research_types,doi,arxiv_id,openalex_id,method_name_candidate,method_name_evidence
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",that s another doom i haven t thought about a user study on ai labels as a safeguard against image based misinformation,2026,published,CHI Conference on Human Factors in Computing Systems (CHI),,fully_generated,analysis_study,10.1145/3772318.3791006,2505.22845,w4416604008,,
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,a comparative study of classification methods for real and ai generated images with frequency feature analysis,2026,published,International Conference of Young Professionals in Electron Devices and Materials (EDM),detection,fully_generated,analysis_study,10.1109/edm69524.2026.11632103,,w7202290304,,
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,a debiased reconstruction based framework for training free detection of ai generated images,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),detection,fully_generated,method,,,,,
curated:b5094e3d407c63ed6f41,A Difference-in-Difference Approach to Detecting AI-Generated Images,a difference in difference approach to detecting ai generated images,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),detection,fully_generated,method,,2602.23732,,,
curated:4f53748fb43c13e3fc32,A Hybrid CLIP-Diffusion Architecture for Transparent Deepfake Detection and Explainability Evaluation,a hybrid clip diffusion architecture for transparent deepfake detection and explainability evaluation,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) · Workshop,detection,deepfake,method,,,,,
curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,a survey on deep learning based techniques for detecting ai generated synthetic images,2026,published,Summer School on Artificial Intelligence in Cybersecurity (CYBER-AI),detection,fully_generated,survey,10.3390/engproc2026123032,,w7128592463,,
,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,adaptive forensic feature refinement via intrinsic importance perception,2026,preprint_or_other,arXiv,detection,fully_generated;generative_editing;deepfake,method,,2604.16879,w7155245437,,
curated:d1195175f50833c90a64,ADRD: Detecting Diffusion-Generated Images via Adversarial Perturbation Induced Reconstruction Discrepancy,adrd detecting diffusion generated images via adversarial perturbation induced reconstruction discrepancy,2026,published,PLOS One,detection,fully_generated,method,10.1371/journal.pone.0350655,,w7168285345,ADRD,title prefix heuristic; discovery only
curated:17c17b87dfcd355ab1ba,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images from Scratch,adversarial diffusion model generating high quality and undetectable images from scratch,2026,published,IEEE Transactions on Information Forensics and Security (TIFS),detection,fully_generated,method,10.1109/tifs.2026.3657841,,w7125828141,Adversarial Diffusion Model,title prefix heuristic; discovery only
curated:27b6ffdee837c7f997f5,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,aedr training free ai generated image attribution via autoencoder double reconstruction,2026,published,AAAI Conference on Artificial Intelligence (AAAI),source_attribution,fully_generated,method,10.1609/aaai.v40i12.37930,2507.18988,w7138264983,AEDR,title prefix heuristic; discovery only
curated:b4cb4110cc81eb9be1d7,AEGIS: A Holistic Benchmark for Evaluating Forensic Analysis of AI-Generated Academic Images,aegis a holistic benchmark for evaluating forensic analysis of ai generated academic images,2026,preprint_or_other,arXiv,detection;localization,fully_generated;generative_editing,benchmark;analysis_study,,2604.28177,w7159651702,AEGIS,title prefix heuristic; discovery only
curated:77504e19116765d4b160,AgentFoX: LLM-Driven Agentic Multi-Expert Fusion with Explainability for AI-Generated Image Detection,agentfox llm driven agentic multi expert fusion with explainability for ai generated image detection,2026,preprint_or_other,arXiv,detection,fully_generated,method,,2603.23115,w7140286693,AgentFoX,title prefix heuristic; discovery only
curated:cdbafbabadfbb462102a,Aggregating Diverse Cue Experts for AI-Generated Image Detection,aggregating diverse cue experts for ai generated image detection,2026,published,AAAI Conference on Artificial Intelligence (AAAI),detection,fully_generated,method,10.1609/aaai.v40i11.37890,2601.08790,w7137954683,,
curated:211ea83fa8d41c8ec810,AI-Generated Image Detection Algorithm Based on Classical-Quantum Hybrid Neural Network,ai generated image detection algorithm based on classical quantum hybrid neural network,2026,published,Science China Information Sciences (Sci China Inf Sci),detection,fully_generated,method,10.1007/s11432-024-4475-4,,w7123358516,,
curated:b08c8cdd637cf7f65d18,AI-Generated Image Detection Based on the Most Suspicious Patch,ai generated image detection based on the most suspicious patch,2026,published,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD) · Other,detection,fully_generated,method,10.1007/978-981-92-1947-6_34,,w7165747150,,
curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,ai generated image detection challenges and recent advances,2026,published,,detection,fully_generated,survey,10.1007/978-3-032-11782-3_6,,w7159927480,AI-Generated Image Detection,title prefix heuristic; discovery only
