item_id,category,title,year,problem_type,current_problem,expected_correction,evidence,priority,status,notes
CB-001,confirmed_institution_correction,"Generative Visual AI in News Organizations: Challenges, Opportunities, Perceptions, and Policies",2024,institution_resolution,"OpenAlex resolved T. J. Thomson's RMIT University affiliation as MIT University in Skopje, North Macedonia.","Use RMIT University, Washington State University, and Queensland University of Technology with the verified author assignments.",Confirmed publisher affiliations; replacement rows already exist in institution_record_overrides.csv.,high,implemented_regression_check,Retain as a regression case so MIT University does not reappear.
CB-002,scope_review,"Generative Visual AI in News Organizations: Challenges, Opportunities, Perceptions, and Policies",2024,scope_eligibility,"The paper may concern newsroom policy, perceptions, and practice rather than core synthetic-image detection or source attribution.",Review the full paper against project scope and retain or exclude it with an explicit decision.,Title and current classification indicate news/policy/perception content; full-text scope review is still required.,medium,needs_review,Do not infer exclusion from the title alone.
CB-003,confirmed_institution_correction,WildFake: A Large-Scale and Hierarchical Dataset for AI-Generated Images Detection,2025,incomplete_affiliations,OpenAlex currently exposes only Shanghai Jiao Tong University and omits Ant Group.,"Assign Yan Hong, Jianming Feng, Haoxing Chen, Jun Lan, Huijia Zhu, and Weiqiang Wang to Ant Group; assign Jianfu Zhang to Shanghai Jiao Tong University.","AAAI official paper page lists both affiliations. Ant Group address evidence: Ant A Space, No. 569 Xixi Road, Xihu District, Hangzhou, China.",high,pending_override,Do not invent Ant Group coordinates; verify or reuse a local geocoding record before creating map replacement rows.
CB-004,confirmed_institution_correction,Leveraging Image Gradients for Robust GAN-Generated Image Detection in OSN context,2023,institution_normalization,Current/OpenAlex-derived records include incorrect institutions such as Institute of Engineering Science and IIT Indore.,"Preserve the raw affiliation Department of Information Technology, Indian Institute of Engineering Science and Technology; use Indian Institute of Engineering Science and Technology or Indian Institute of Engineering Science and Technology, Shibpur as the canonical institution and store location separately.",Official affiliation evidence recorded in the existing institution_record_overrides.csv correction.,high,implemented_regression_check,Ensure canonical institution and location are not concatenated inconsistently.
CB-005,confirmed_institution_correction,Discovering Transferable Forensic Features for CNN-Generated Images Detection,2022,institution_extraction,An invalid institution named Unge aksjonaerer was generated.,"Use Singapore University of Technology and Design, Singapore Institute of Technology, and University of Oslo with the verified author assignments.",Paper PDF affiliation list; replacement rows already exist in institution_record_overrides.csv.,high,implemented_regression_check,Keep as a regression case for full replacement semantics.
CB-006,confirmed_institution_correction,Source Generator Attribution via Inversion,2019,author_institution_assignment,Honeywell institution authors may be lost or assigned incorrectly during export.,Honeywell institution authors must be Michael Albright and Scott McCloskey.,Verified manual row exists in institution_author_overrides.csv.,high,implemented_regression_check,Regression case; no new automatic overwrite is needed.
CB-007,suspected_institution_correction,DIRE for Diffusion-Generated Image Detection,2023,suspicious_institutions,Generated records include suspicious Poland institutions such as Institute of Art and National Science Centre.,Review the complete affiliation list and author-to-institution mapping before applying any replacement.,"Local review queue conflicts with raw affiliation text naming Institute of Artificial Intelligence, Hefei Comprehensive National Science Center.",high,needs_full_paper_check,Do not auto-overwrite from a single review row.
CB-008,suspected_institution_correction,AI Generated Image Detection Using Neural Networks,2024,institution_conflict,Current institution SRM Institute of Science and Technology conflicts with the raw affiliation.,"Review Dhanekula Institute Of Engineering And Technology, Ganguru, India as the likely institution.","Local raw affiliation: Students, Department Of Computer Science & Engineering, Dhanekula Institute Of Engineering And Technology, Ganguru, India.",medium,needs_review,Verify the paper and canonical institution spelling before an override.
CB-009,suspected_institution_correction,Deep fake detection and classification using error-level analysis and deep learning,2023,institution_conflict,Current institution Karnatak University conflicts with the raw affiliation for Rashid Amin.,"Review University of Chakwal, Pakistan as the likely institution for Rashid Amin.","Local raw affiliation: Department of Computer Science, University of Chakwal, Chakwal, 48800, Pakistan.",high,needs_full_paper_check,The paper has multiple authors and institutions; reconstruct the full mapping before replace mode.
CB-010,suspected_institution_correction,Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,2024,institution_conflict,Current institution Brandman University conflicts with raw affiliation text for both authors.,Review Reichman University as the likely institution for Sergey Sinitsa and Ohad Fried.,Local review rows name Reichman University for both authors.,high,needs_review,Verify a local location/coordinate source before creating replacement map records.
