paper_id,title,task,old_subtask,assessment
curated:07ee620b8169b67b900f,Does a GAN leave distinct model-specific fingerprints?,source_attribution,source_identification,consistent
curated:853c7e2ae5f343438dd5,Did You Use My GAN to Generate Fake? Post-hoc Attribution of GAN Generated Images via Latent Recovery,source_attribution,,empty
curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,source_attribution,source_identification,consistent
curated:e058b4e851ac44180d82,Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,source_attribution,,empty
curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,source_attribution,source_identification,consistent
curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,detection_and_source_attribution,detection_and_source_attribution,consistent
curated:66ea5be66b23f7db046a,人工智能生成图像检测技术综述,detection,,empty
curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,source_attribution,source_identification,consistent
curated:62b0a9ae8be24d9f02e0,Single-Model Attribution of Generative Models Through Final-Layer Inversion,source_attribution,source_identification,consistent
curated:af47c4b83dfd43175a4a,Attributing and Detecting Fake Images Generated by Known GANs,source_attribution,source_identification,consistent
curated:98c0322e2f8dd41d3e9e,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,source_attribution,,empty
curated:0849228c52c5759845c2,FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,uncertain,,empty
curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",detection,,empty
curated:b286f4a33839eed35258,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't know Projective Geometry…for Now,detection,,empty
curated:1eef07ebb6bd7e596f61,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,detection,ai_generated_image_detection,consistent
curated:a0abee05e50398d03f2f,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,detection,,empty
curated:f523af1f7fe7b16fda75,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,detection,,empty
