category,paper_id,title,venue_id,venue_name,venue_type,venue_track,resolved_venue_id,note
dangling_venue_id,curated:07ee620b8169b67b900f,Does a GAN leave distinct model-specific fingerprints?,venue:conference32nd-british-machine-vision-conference-bmvc-2021:main,"Conference32nd British Machine Vision Conference, BMVC 2021",conference,main,venue:conference32nd-british-machine-vision-conference-bmvc-2021:main,paper venue_id is absent from the canonical registry
no_action_required,curated:853c7e2ae5f343438dd5,Did You Use My GAN to Generate Fake? Post-hoc Attribution of GAN Generated Images via Latent Recovery,venue:ijcnn:main,International Joint Conference on Neural Networks,conference,main,venue:ijcnn:main,
no_action_required,curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
dangling_venue_id,curated:e058b4e851ac44180d82,Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,venue:florence-research-university-of-florence,Florence Research (University of Florence),journal,,venue:florence-research-university-of-florence,paper venue_id is absent from the canonical registry
no_action_required,curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,venue:eccv:workshops,European Conference on Computer Vision,conference,workshops,venue:eccv:workshops,
dangling_venue_id,curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,venue:international-conference-on-pattern-recognition:main,International Conference on Pattern Recognition,conference,main,venue:international-conference-on-pattern-recognition:main,paper venue_id is absent from the canonical registry
dangling_venue_id,curated:66ea5be66b23f7db046a,人工智能生成图像检测技术综述,venue:journal-of-image-and-graphics,Journal of Image and Graphics,journal,,venue:journal-of-image-and-graphics,paper venue_id is absent from the canonical registry
no_action_required,curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,venue:icml:main,International Conference on Machine Learning,conference,main,venue:icml:main,
no_action_required,curated:62b0a9ae8be24d9f02e0,Single-Model Attribution of Generative Models Through Final-Layer Inversion,venue:icml:main,International Conference on Machine Learning,conference,main,venue:icml:main,
dangling_venue_id,curated:af47c4b83dfd43175a4a,Attributing and Detecting Fake Images Generated by Known GANs,venue:ieee-security-and-privacy:workshops,IEEE Security and Privacy,conference,workshops,venue:ieee-security-and-privacy:workshops,paper venue_id is absent from the canonical registry
no_action_required,curated:98c0322e2f8dd41d3e9e,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,,,,,,
no_action_required,curated:0849228c52c5759845c2,FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:b286f4a33839eed35258,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't know Projective Geometry...for Now,,,journal,,,
no_action_required,curated:1eef07ebb6bd7e596f61,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
no_action_required,curated:a0abee05e50398d03f2f,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,,,journal,,,
no_action_required,curated:f523af1f7fe7b16fda75,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,venue:zenodo,Zenodo,preprint,,venue:zenodo,
dangling_venue_id,curated:25c76f83f95efc6207a4,Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,venue:iris-research-product-catalog-sapienza-university-of-rome,IRIS Research product catalog (Sapienza University of Rome),journal,,venue:iris-research-product-catalog-sapienza-university-of-rome,paper venue_id is absent from the canonical registry
no_action_required,curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,,,,,,
no_action_required,curated:a6f370defb21b2e07381,Your Diffusion Model is an Implicit Synthetic Image Detector,venue:eccv:workshops,European Conference on Computer Vision,conference,workshops,venue:eccv:workshops,
no_action_required,curated:a87d86d7032f5a751004,ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,venue:figshare,Figshare,preprint,,venue:figshare,
no_action_required,curated:d740749676417c725798,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,,,journal,,,
