title,year,authors,doi,arxiv_id,openalex_url,paper_url,expected_task,source_doc,section,notes,openalex_link_status,openalex_link_reason,search_strategy_used,candidate_source_query,title_similarity,candidate_title,candidate_year,candidate_openalex_url,candidate_doi,candidate_paper_url,enriched_openalex_url,enriched_doi,enriched_paper_url
Do GANs Leave Artificial Fingerprints?,2019,"Francesco Marra, Diego Gragnaniello, Luisa Verdoliva, Giovanni Poggi",,,,https://ieeexplore.ieee.org/document/8695364,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=MIPR 2019; source_suffix=MIPR，2019,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Do GANs Leave Artificial Fingerprints,1.000,Do GANs Leave Artificial Fingerprints?,2019,https://openalex.org/W2907295878,10.1109/mipr.2019.00103,https://doi.org/10.1109/mipr.2019.00103,https://openalex.org/W2907295878,10.1109/mipr.2019.00103,https://doi.org/10.1109/mipr.2019.00103
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,"Ning Yu, Larry Davis, Mario Fritz. University of Maryland, USA",,,,https://openaccess.thecvf.com/content_ICCV_2019/papers/Yu_Attributing_Fake_Images_to_GANs_Learning_and_Analyzing_GAN_Fingerprints_ICCV_2019_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ICCV 2019,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Attributing Fake Images to GANs Learning and Analyzing GAN Fingerprints,1.000,Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,https://openalex.org/W2991318208,10.1109/iccv.2019.00765,https://doi.org/10.1109/iccv.2019.00765,https://openalex.org/W2991318208,10.1109/iccv.2019.00765,https://doi.org/10.1109/iccv.2019.00765
Incremental learning for the detection and classification of GAN-generated image,2019,"Francesco Marra; Cristiano Saltori; Giulia Boato; Luisa Verdoliva. University Federico II of Naples, Italy",,,,https://ieeexplore.ieee.org/abstract/document/9035099,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WIFS, 2019",linked_to_openalex,"strong normalized-title similarity; similarity 0.994; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Incremental learning for the detection and classification of GAN-generated image,0.994,Incremental learning for the detection and classification of GAN-generated images,2019,https://openalex.org/W3010699567,10.1109/wifs47025.2019.9035099,http://hdl.handle.net/11572/296754,https://openalex.org/W3010699567,10.1109/wifs47025.2019.9035099,http://hdl.handle.net/11572/296754
Source Generator Attribution via Inversion,2019,"Michael Albright and Scott McCloskey. Honeywell ACST, USA",,,,https://openaccess.thecvf.com/content_CVPRW_2019/papers/Media%20Forensics/Albright_Source_Generator_Attribution_via_Inversion_CVPRW_2019_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR Workshops 2019,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Source Generator Attribution via Inversion,1.000,Source Generator Attribution via Inversion,2019,https://openalex.org/W2943961047,10.48550/arxiv.1905.02259,http://arxiv.org/abs/1905.02259,https://openalex.org/W2943961047,10.48550/arxiv.1905.02259,http://arxiv.org/abs/1905.02259
Scalable fine-grained generated image classification based on deep metric learning,2019,"Xuan, Xinsheng and Peng, Bo and Wang, Wei and Dong, Jing. Chinese Academy of Sciences, China",,,,,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 2019",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Scalable fine-grained generated image classification based on deep metric learning,1.000,Scalable Fine-grained Generated Image Classification Based on Deep Metric Learning,2019,https://openalex.org/W2997633607,10.48550/arxiv.1912.11082,http://arxiv.org/abs/1912.11082,https://openalex.org/W2997633607,10.48550/arxiv.1912.11082,http://arxiv.org/abs/1912.11082
Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,"Joel Frank, Thorsten Eisenhofer, Lea Schönherr, Asja Fischer, Dorothea Kolossa, Thorsten Holz",10.5555/3524938.3525242,,,https://dl.acm.org/doi/pdf/10.5555/3524938.3525242,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,Identification | Detection,"source_suffix=ICML, 2020",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Leveraging Frequency Analysis for Deep Fake Image Recognition,1.000,Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,https://openalex.org/W3012033723,10.48550/arxiv.2003.08685,http://arxiv.org/abs/2003.08685,https://openalex.org/W3012033723,10.48550/arxiv.2003.08685,http://arxiv.org/abs/2003.08685
Towards discovery and attribution of open-world gan generated images,2021,"Sharath Girish, Saksham Suri, Saketh Rambhatla, Abhinav Shrivastava. University of Maryland, USA",,,,https://openaccess.thecvf.com/content/ICCV2021/papers/Girish_Towards_Discovery_and_Attribution_of_Open-World_GAN_Generated_Images_ICCV_2021_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ICCV 2021,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Towards discovery and attribution of open-world gan generated images,1.000,Towards Discovery and Attribution of Open-world GAN Generated Images,2021,https://openalex.org/W3161417217,10.1109/iccv48922.2021.01383,https://doi.org/10.1109/iccv48922.2021.01383,https://openalex.org/W3161417217,10.1109/iccv48922.2021.01383,https://doi.org/10.1109/iccv48922.2021.01383
Does a GAN leave distinct model-specific fingerprints?,2021,"Yuzhen Ding, Nupur Thakur and baoxin Li. Arizona State University, USA",,,,https://www.bmvc2021-virtualconference.com/assets/papers/0197.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=BMVC 2021,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Does a GAN leave distinct model-specific fingerprints,1.000,Does a GAN leave distinct model-specific fingerprints?,2021,https://openalex.org/W4411245244,10.5244/c.35.53,https://doi.org/10.5244/c.35.53,https://openalex.org/W4411245244,10.5244/c.35.53,https://doi.org/10.5244/c.35.53
On attribution of deepfakes,2021,"Baiwu Zhang, Jin Peng Zhou, Ilia Shumailov, Nicolas Papernot. University of Toronto, Canada",,,,,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=arXiv 20210303,linked_to_openalex,exact normalized title; similarity 1.000; year difference 1.,search,On attribution of deepfakes,1.000,On Attribution of Deepfakes,2020,https://openalex.org/W3134567460,10.48550/arxiv.2008.09194,http://arxiv.org/abs/2008.09194,https://openalex.org/W3134567460,10.48550/arxiv.2008.09194,http://arxiv.org/abs/2008.09194
Learning to disentangle gan fingerprint for fake image attribution,2021,"Tianyun Yang, Juan Cao, Qiang Sheng, Lei Li, Jiaqi Ji, Xirong Li, Sheng Tang",,,,,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=arXiv, 20210616",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Learning to disentangle gan fingerprint for fake image attribution,1.000,Learning to Disentangle GAN Fingerprint for Fake Image Attribution,2021,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,http://arxiv.org/abs/2106.08749,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,http://arxiv.org/abs/2106.08749
