title,year,normalized_title,key_paper_status,openalex_candidate_status,in_openalex_candidate_papers,in_openalex_candidate_papers_in_scope,in_candidate_map_export,in_public_preview,openalex_url,doi,candidate_record_id,stable_id_status,affiliation_record_status,coordinate_status,export_status,skip_reason,recommended_next_action,notes
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,attributing fake images to gans learning and analyzing gan fingerprints,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W2991318208,10.1109/iccv.2019.00765,,stable_identifier_available,institution_records_available,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=2; affiliation rows=3; openalex institution-bearing rows=3; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,,stable_identifier_available,institution_records_available,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=1; affiliation rows=9; openalex institution-bearing rows=9; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,repmix representation mixing for robust attribution of synthesized images,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W4284702842,10.1007/978-3-031-19781-9_9,,stable_identifier_available,institution_records_available,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=1; affiliation rows=4; openalex institution-bearing rows=4; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
Reverse engineering of generative models: Inferring model hyperparameters from generated images,2023,reverse engineering of generative models inferring model hyperparameters from generated images,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W4385486282,10.1109/tpami.2023.3301451,,stable_identifier_available,institution_records_available,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=1; affiliation rows=4; openalex institution-bearing rows=4; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,detection of gan generated images by estimating artifact similarity,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W3217278836,10.1109/lsp.2021.3130525,,stable_identifier_available,institution_records_available,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=1; affiliation rows=5; openalex institution-bearing rows=5; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
GenDet: Towards Good Generalizations for AI-Generated Image Detection,2023,gendet towards good generalizations for ai generated image detection,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W4389820666,10.48550/arxiv.2312.08880,,stable_identifier_available,author_rows_without_institution_or_raw_affiliation,not_applicable_without_institution_records,cannot_build_institution_map_record,missing_affiliation_records,add_or_verify_affiliation_records,OpenAlex matches=1; affiliation rows=7; openalex institution-bearing rows=0; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,lare 2 latent reconstruction error based method for diffusion generated image detection,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,yes,no,no,https://openalex.org/W4393284560,10.48550/arxiv.2403.17465,,stable_identifier_available,institution_records_available_from_key_paper_enrichment,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=1; affiliation rows=4; openalex institution-bearing rows=0; key-paper enrichment rows=4; key-paper enrichment institution-bearing rows=4; geocoded rows=4; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,cifake image classification and explainable identification of ai generated synthetic images,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W4391019749,10.1109/access.2024.3356122,,stable_identifier_available,institution_records_available,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=1; affiliation rows=2; openalex institution-bearing rows=2; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
Advanced Detection of AI-Generated Images Through Vision Transformers,2024,advanced detection of ai generated images through vision transformers,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W4405778887,10.1109/access.2024.3522759,,stable_identifier_available,institution_records_available,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=1; affiliation rows=1; openalex institution-bearing rows=1; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,yes,no,no,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,,stable_identifier_available,institution_records_available_from_key_paper_enrichment,no_valid_coordinates,cannot_build_coordinate_bearing_map_record,missing_valid_coordinates,add_or_verify_coordinates,OpenAlex matches=2; affiliation rows=10; openalex institution-bearing rows=0; key-paper enrichment rows=10; key-paper enrichment institution-bearing rows=10; geocoded rows=10; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
Detecting Multimedia Generated by Large AI Models: A Survey,2024,detecting multimedia generated by large ai models a survey,in_openalex_candidate_pool_but_not_exported,exact_normalized_title_match,yes,no,no,no,https://openalex.org/W4391563741,10.36227/techrxiv.170723324.44685515/v1,,stable_identifier_available,author_rows_without_institution_or_raw_affiliation,not_applicable_without_institution_records,cannot_build_institution_map_record,missing_affiliation_records,add_or_verify_affiliation_records,OpenAlex matches=1; affiliation rows=10; openalex institution-bearing rows=0; key-paper enrichment rows=0; key-paper enrichment institution-bearing rows=0; geocoded rows=0; valid-coordinate rows=0. Diagnostic only; key-paper checklist membership remains in scope.
