batch,title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,notes,review_decision,review_notes
top50,AI-generated image detection algorithm based on classical-quantum hybrid neural network,2026,weak_match,Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next,2022,0.413,https://openalex.org/W4288039037,https://doi.org/10.1007/s10915-022-01939-z,Journal of Scientific Computing,journal,,include,
top50,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,weak_match,Remote Sensing Object Detection in the Deep Learning Era—A Review,2024,0.405,https://openalex.org/W4390826350,https://doi.org/10.3390/rs16020327,Remote Sensing,journal,,include,
top50,Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,2026,weak_match,Deepfake Generation and Detection: Case Study and Challenges,2023,0.397,https://openalex.org/W4389633690,https://doi.org/10.1109/access.2023.3342107,IEEE Access,journal,,include,
top50,FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection. MMM 2026,2026,no_match,,,,,,,,No OpenAlex result,include,
top50,Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,weak_match,Electroencephalography Signal Processing: A Comprehensive Review and Analysis of Methods and Techniques,2023,0.424,https://openalex.org/W4384557778,https://doi.org/10.3390/s23146434,Sensors,journal,,include,
top50,General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,weak_match,A Review of Generalized Zero-Shot Learning Methods,2022,0.333,https://openalex.org/W4285787895,https://doi.org/10.1109/tpami.2022.3191696,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,,include,
top50,Localizing Perceptual Artifacts in Synthetic Images for Image Quality Assessment via Deep-Learning-Based Anomaly Detection,2026,weak_match,Applications of artificial intelligence and deep learning in molecular imaging and radiotherapy,2020,0.442,https://openalex.org/W3088719758,https://doi.org/10.1186/s41824-020-00086-8,European Journal of Hybrid Imaging,journal,,include,
top50,Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,2026,weak_match,"A Survey on ChatGPT: AI–Generated Contents, Challenges, and Solutions",2023,0.413,https://openalex.org/W4385469325,https://doi.org/10.1109/ojcs.2023.3300321,IEEE Open Journal of the Computer Society,journal,,include,
top50,"Prompt-Engineered Detection of AI-Generated Images. New Trends in Intelligent Software Methodologies, Tools and Techniques, 2026",2026,weak_match,The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,2023,0.409,https://openalex.org/W4386711999,https://doi.org/10.1007/s11846-023-00696-z,Review of Managerial Science,journal,,include,
top50,Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,weak_match,Deep Residual Learning for Image Recognition: A Survey,2022,0.362,https://openalex.org/W4295122555,https://doi.org/10.3390/app12188972,Applied Sciences,journal,,include,
