title,year,openalex_url,doi,best_match_title,best_match_year,similarity,publication_venue,publication_type,import_batch,import_policy,notes
Light2Lie: Detecting Deepfake Images Using Physical Reflectance Law,2026,https://openalex.org/W7160998329,https://doi.org/10.14722/ndss.2026.230923,Light2Lie: Detecting Deepfake Images Using Physical Reflectance Laws,2026,0.992,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
"""That’s another doom I haven’t thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation. CHI, 2026",2026,https://openalex.org/W4416604008,https://doi.org/10.1145/3772318.3791006,"""That's another doom I haven't thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",2026,0.964,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
FakeReasoning: Towards Generalizable Forgery Detection and Reasoning,2026,https://openalex.org/W7140634248,https://doi.org/10.1109/tip.2026.3673967,Toward Generalizable Forgery Detection and Reasoning,2026,0.874,IEEE Transactions on Image Processing,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,https://openalex.org/W7137976262,https://doi.org/10.1609/aaai.v40i8.37568,SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,1.000,Proceedings of the AAAI Conference on Artificial Intelligence,conference,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,https://openalex.org/W7128818896,https://doi.org/10.1109/tpami.2026.3664388,Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,1.000,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,https://openalex.org/W7125581744,https://doi.org/10.1109/tcsvt.2026.3656696,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,1.000,IEEE Transactions on Circuits and Systems for Video Technology,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,https://openalex.org/W7131898118,https://doi.org/10.1109/tmm.2026.3668513,Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,1.000,IEEE Transactions on Multimedia,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,https://openalex.org/W7125828141,https://doi.org/10.1109/tifs.2026.3657841,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,1.000,IEEE Transactions on Information Forensics and Security,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,https://openalex.org/W7133363592,,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,1.000,ArXiv.org,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2026,https://openalex.org/W4417526972,https://doi.org/10.1016/j.neucom.2025.132482,Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2025,1.000,Neurocomputing,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
