exclusion_id,paper_id,title,year,doi,openalex_url,reason,review_note,excluded_from_public_preview,excluded_from_map,is_active,created_at,created_by,restored_at,restore_note,source_database,metadata_source
exclusion-5054eaa15a1d417496bf573ee864e767,,[Retracted] Comparative Analysis of Deepfake Image Detection Method Using Convolutional Neural Network,2021,10.1155/2021/3111676,https://openalex.org/W4200434941,retracted,retracted,true,true,true,2026-06-29T19:15:31Z,local_admin,,,OpenAlex,
exclusion-a223c35880684fb5becfe89974410d38,,On the Truth Claims of Deepfakes: Indexing Images and Semantic Forensics,2021,10.59547/26911566.3.1.04,https://openalex.org/W4377085653,out_of_scope,ML,true,true,true,2026-06-29T22:04:51Z,local_admin,,,OpenAlex,
exclusion-684a2d0355ab472288ea04317f5a4514,,Deepfake DEEPFAKE AND AI-GENERATED IMAGE DETECTION SYSTEM,2025,10.36948/ijfmr.2025.v07i02.42245,https://openalex.org/W4409646637,other,low quality,true,true,true,2026-06-30T20:40:46Z,local_admin,,,OpenAlex,
exclusion-306d4ce1700a4c98a0f32e23490572d4,,"Deepfake Detection Using Deep Learning: A Unified Forensic Approach to Detect AI-Generated Images and Videos with Fusion of Eye, Nose, and Mouth Landmarks",2025,10.20944/preprints202502.0552.v1,https://openalex.org/W4407285822,deepfake_only_not_core,low quality,true,true,true,2026-06-30T20:42:16Z,local_admin,,,OpenAlex,
exclusion-de1a97e3d0dd47ec824b092387043b91,,Microscopy cell counting and detection with fully convolutional regression networks,2016,10.1080/21681163.2016.1149104,https://openalex.org/W2347064614,out_of_scope,ML,true,true,true,2026-06-30T21:18:34Z,local_admin,,,OpenAlex,
exclusion-7e31577d29a2427bac4e8985f6286cf4,,Reverse Engineering of Generative Models: Inferring Model Hyperparameters From Generated Images,2023,10.1109/tpami.2023.3301451,https://openalex.org/W4385486282,out_of_scope,ML,true,true,true,2026-07-01T07:37:06Z,local_admin,,,OpenAlex,
exclusion-7f50c014817049ec8aacb23aa9d21cb7,curated:be2900947b322f9eb905,OmniDFA: A Unified Framework for Open Set Synthesis Image Detection and Few-Shot Attribution,2025,10.48550/arxiv.2509.25682,https://openalex.org/W4415338199,duplicate,ML,true,true,false,2026-07-01T07:40:31Z,local_admin,2026-07-01T07:41:27Z,ML,openalex,openalex
exclusion-87d8042940ea4860980fb3cf934ffacb,,$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,https://doi.org/10.48550/arxiv.2510.05891,https://openalex.org/W4414979736,duplicate,ML,true,true,true,2026-07-08T15:42:23Z,local_admin,,,OpenAlex,
exclusion-3db1d8dd91644e9eb2179789a644f966,,Source Generator Attribution via Inversion,2019,10.48550/arxiv.1905.02259,https://openalex.org/W2943961047,duplicate,ML,true,true,false,2026-07-08T15:53:35Z,local_admin,2026-07-08T15:53:41Z,ML,OpenAlex,
exclusion-4a710386af6d430da2d7ac959a62eea1,,Source Generator Attribution via Inversion,2019,10.48550/arxiv.1905.02259,https://openalex.org/W2943961047,duplicate,ML,true,true,false,2026-07-08T15:55:17Z,local_admin,2026-07-08T15:55:25Z,ML,OpenAlex,
exclusion-1049d44a608f4c53ac291cd44813b0e9,,Source Generator Attribution via Inversion,2019,10.48550/arxiv.1905.02259,https://openalex.org/W2943961047,duplicate,ML,true,true,true,2026-07-11T16:46:06Z,local_admin,,,OpenAlex,
exclusion-17447bd65e3b4aae98831c8d0bf68be0,,Redefining Generalization in Visual Domains: A Two-Axis Framework for Fake Image Detection with FusionDetect,2025,https://doi.org/10.48550/arxiv.2510.05740,https://openalex.org/W4414978765,other,preprint,true,true,true,2026-07-13T20:06:06Z,local_admin,,,OpenAlex,
exclusion-3d41919c648d40079984e6c35961ddd7,,Real-Time Deepfake Detection in the Real-World,2024,10.48550/arxiv.2406.09398,https://openalex.org/W4399695946,other,preprint,true,true,false,2026-07-13T20:11:52Z,local_admin,2026-08-16T09:29:42Z,It provides a real-world synthetic image dataset.,OpenAlex,
exclusion-98b216ee749b45e7979e0bee5bdc53f3,curated:79adf19ca6991c1d85f8,RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,2025,10.48550/arxiv.2506.03988,https://openalex.org/W4417114708,other,preprint,true,true,false,2026-07-13T20:13:01Z,local_admin,2026-08-23T13:28:10Z,ML,openalex,openalex
exclusion-afa362e960d2495eb5c5b44c1431736e,,"Provenance Detection for AI-Generated Images: Combining Perceptual Hashing, Homomorphic Encryption, and AI Detection Models",2025,https://doi.org/10.48550/arxiv.2503.11195,https://openalex.org/W4417284156,other,preprint,true,true,true,2026-07-13T20:14:33Z,local_admin,,,OpenAlex,
exclusion-bb870f305db948d18fb473d072844c48,,Pay Less Attention to Deceptive Artifacts: Robust Detection of Compressed Deepfakes on Online Social Networks,2025,https://doi.org/10.48550/arxiv.2506.20548,https://openalex.org/W4414989730,other,preprint,true,true,true,2026-07-13T20:15:50Z,local_admin,,,OpenAlex,
exclusion-c3fa2ef7f1b341b0aef86576f524a203,,Multimodal Conditional Information Bottleneck for Generalizable AI-Generated Image Detection,2025,10.48550/arxiv.2505.15217,https://openalex.org/W4415025023,other,preprint,true,true,true,2026-07-13T20:17:00Z,local_admin,,,OpenAlex,
exclusion-5d0fed121a9647488764f3fcd73ca989,,HFI: A unified framework for training-free detection and implicit watermarking of latent diffusion model generated images,2024,10.48550/arxiv.2412.20704,https://openalex.org/W4405956571,other,preprint,true,true,true,2026-07-13T20:25:45Z,local_admin,,,OpenAlex,
exclusion-b4edceac7e584ae58b7bda18b45b7bc1,,LADLE-MM: Limited Annotation based Detector with Learned Ensembles for Multimodal Misinformation,2025,,https://openalex.org/W7117277228,other,preprint,true,true,true,2026-07-13T20:26:19Z,local_admin,,,OpenAlex,
exclusion-62995faa977446d181fe90cfcd01fb67,,LDR-Net: A Novel Framework for AI-generated Image Detection via Localized Discrepancy Representation,2025,https://doi.org/10.48550/arxiv.2501.13475,https://openalex.org/W4406786190,other,preprint,true,true,true,2026-07-13T20:26:53Z,local_admin,,,OpenAlex,
exclusion-b4c81bf833c64b808efdec040224d1f4,,GAN Generated Fake Human Face Image Detection,2024,10.1109/iitcee59897.2024.10467257,https://openalex.org/W4392981221,deepfake_only_not_core,ML,true,true,false,2026-07-17T22:13:43Z,local_admin,2026-07-17T23:00:57Z,ML,OpenAlex,
exclusion-faed866c0ec441cea9407cfdcb389772,,From Provenance to Aberrations: Image Creator and Screen Reader User Perspectives on Alt Text for AI-Generated Images,2024,10.1145/3613904.3642325,https://openalex.org/W4396832416,out_of_scope,ML,true,true,true,2026-07-20T18:24:21Z,local_admin,,,OpenAlex,
exclusion-65b94ab70e6845ffaafb5779ed2dcc6d,,Wavelet-Packet Powered Deepfake Image Detection.,2021,,https://openalex.org/W3170631962,deepfake_only_not_core,ML,true,true,true,2026-08-07T19:44:59Z,local_admin,,,OpenAlex,
exclusion-78b444d274874e47acbaee80631a942a,,The Stable Signature: Rooting Watermarks in Latent Diffusion Models,2023,10.1109/iccv51070.2023.02053,https://openalex.org/W4390872921,out_of_scope,ML,true,true,true,2026-08-08T10:39:19Z,local_admin,,,OpenAlex,
exclusion-e65368f3147c43c5ab519a01037afd6d,,FaceForensics++: Learning to Detect Manipulated Facial Images,2019,10.1109/iccv.2019.00009,https://openalex.org/W2912336782,deepfake_only_not_core,ML,true,true,true,2026-08-08T10:40:17Z,local_admin,,,OpenAlex,
exclusion-5b46436f26fa431cb7cf37398f81f0dd,,AutoSplice: A Text-prompt Manipulated Image Dataset for Media Forensics,2023,10.1109/cvprw59228.2023.00096,https://openalex.org/W4385801432,out_of_scope,ML,true,true,true,2026-08-11T09:26:17Z,local_admin,,,OpenAlex,
exclusion-448ef4d2b9c74fb2bbaf6ee2c6dc767e,,Deepfake Image Detection Using Convolutional Neural Network,2025,10.1007/978-981-96-1981-8_5,https://openalex.org/W4410026772,out_of_scope,Celeb-DF dataset,true,true,true,2026-08-16T13:57:16Z,local_admin,,,openalex,openalex
exclusion-1733928c55344d2fbb8aac89b4acf70a,,Training Deep Neural Networks for Detecting Drinking Glasses Using Synthetic Images,2017,10.1007/978-3-319-70096-0_37,https://openalex.org/W2766065312,out_of_scope,ML,true,true,true,2026-08-16T14:25:15Z,local_admin,,,OpenAlex,
exclusion-84f3cb6f4b844e938bebca64d8415fcf,,InvisMark: Invisible and Robust Watermarking for AI-Generated Image Provenance,2025,10.1109/wacv61041.2025.00098,https://openalex.org/W4409262147,out_of_scope,ML,true,true,true,2026-08-17T19:04:33Z,local_admin,,,OpenAlex,
exclusion-0268366c60ec4765a2370d7b7d7e0eac,curated:6e9b86dace6a85f4469c,Towards Explaining Classification Models in Security with Sparse Autoencoders,2026,10.1109/eurospw72509.2026.00041,https://openalex.org/W7196987600,out_of_scope,ML,true,true,true,2026-08-25T05:25:31Z,local_admin,,,openalex,openalex
exclusion-ae80d72b174b4630adb4ead6396e6010,curated:c7701d799543661b8a53,Robust Deepfake Detection: Mitigating Spatial Attention Drift via Calibrated Complementary Ensembles,2026,,https://openalex.org/W7159546930,deepfake_only_not_core,ML,true,true,true,2026-08-25T06:19:44Z,local_admin,,,openalex,openalex
exclusion-af9f8b284fd34e95a29debcac182e6f7,curated:4c6404676fc92cb9e8eb,Black-Box Adaptation for Deepfake Detection via Local Relation Guided AUC Optimization,2026,10.1109/jiot.2026.3686234,https://openalex.org/W7155048878,deepfake_only_not_core,ML,true,true,true,2026-08-25T06:27:15Z,local_admin,,,openalex,openalex
exclusion-f25e1b4e-a6fa-491e-b4eb-a26bfe607e97,curated:a3fb37f39cb20a95e3bf,Can Model Attribution Bridge AI's Accountability Gap in Safety-Critical Domains?,2026,10.1098/rsta.2025.0117,https://openalex.org/W7169086594,out_of_scope,2026-09-04 focused corpus-scope audit: the publisher abstract reviews attribution of generic remotely deployed machine-learning services and establishes no synthetic-image forensic target.,true,true,true,2026-09-04T21:33:47Z,codex_scope_audit,,,openalex,openalex
exclusion-f7ba6941-52b6-4ea5-8228-6f67e18cd369,,Cascade learning from adversarial synthetic images for accurate pupil detection,2018,10.1016/j.patcog.2018.12.014,https://openalex.org/W2903907439,downstream_synthetic_data_only,2026-09-04 focused corpus-scope audit: the publisher methodology uses GAN-refined synthetic eyes as training augmentation for pupil localization on real images rather than treating synthetic-image forensics as the target.,true,true,true,2026-09-04T21:33:47Z,codex_scope_audit,,,OpenAlex,
exclusion-7c618a08-1159-4b87-b057-5c82a36e3b2a,curated:667ce5c1fb4da14bbb19,DynEval: Holistic Evaluations of T2I Generative Models in the Wild,2026,,https://openalex.org/W7168241537,out_of_scope,2026-09-04 focused corpus-scope audit: the official paper and project evaluate T2I alignment and output quality against human preferences rather than authenticity detection attribution or forgery localization.,true,true,true,2026-09-04T21:33:47Z,codex_scope_audit,,,openalex,openalex
exclusion-d7e2b405-5a59-49a6-a748-c45aa55df13a,curated:e952f6b86662d0a4372a,DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,2023,10.48550/arxiv.2312.10407,https://openalex.org/W4389983109,out_of_scope,2026-09-04 focused corpus-scope audit: the paper benchmarks GPT-4 image-synthesis texture fidelity and generator limitations rather than a synthetic-image forensic task.,true,true,true,2026-09-04T21:33:47Z,codex_scope_audit,,,openalex,openalex
exclusion-2b39ab69-b9b7-4de7-98b9-6d64f126a802,,How spammers and scammers leverage AI-generated images on Facebook for audience growth,2024,10.37016/mr-2020-151,https://openalex.org/W4401607051,policy_or_perception_only,2026-09-04 focused corpus-scope audit: the official article studies platform misuse engagement and audience awareness; synthetic images are the application context rather than a forensic evaluation target.,true,true,true,2026-09-04T21:33:47Z,codex_scope_audit,,,OpenAlex,
exclusion-3183d610-a567-40aa-acbf-d0b833871956,,Does an emotional connection to art really require a human artist? Emotion and intentionality responses to AI- versus human-created art and impact on aesthetic experience,2023,10.1016/j.chb.2023.107875,https://openalex.org/W4384297285,policy_or_perception_only,2026-09-04 focused corpus-scope audit: the publisher and university abstract study emotion intentionality and aesthetic response using computer-generated art as a stimulus rather than evaluating image forensics.,true,true,true,2026-09-04T21:33:47Z,codex_scope_audit,,,OpenAlex,
