tier,actionability_class,institution_id,canonical_name,active_mapping_count,affected_paper_ids,affected_papers,public_export_status,registry_status,review_status,location_evidence,queue_reason
C_dormant_registry_only,registry_only,institution:008fc27550d4153d,Canadian International College,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:02b60e662a7a973c,Shivaji University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:030ecebfe13ca82f,Ain Shams University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:042deeccb5521315,Bay Institute,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:068512c1b695fe0b,Max Planck Institute for Security and Privacy,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:07d62a903f84afcd,Hangzhou Dianzi University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:080a1da6ac4d04fd,Baidu (China),0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:08e0b2dd5a6ea299,Suzhou Research Institute,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:091dadcc6613c152,Al-Azhar University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:0d485839c904b21b,Shenzhen Academy of Robotics,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:0e65844051a659b1,Shandong University of Science and Technology,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:125af76b30759ac2,Middle East University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:13d54640e2e7ec6c,Northeast Agricultural University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:148a0feafd311a0a,Korea Advanced Institute of Science and Technology,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:1633fd8e927f7e3e,Chaoyang University of Technology,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:16acb7bf7b8c14cf,University of Massachusetts Boston,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:17bf653107a56b33,Columbia University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:18a199cf02e2dc6e,National University of Computer and Emerging Sciences,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:191ab0ad911126ad,University of Hafr Al-Batin,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:198d7d8f4558c225,Jiaxing University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:1b35f3068bbd3352,Aligarh Muslim University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:1b91d0993efc3a95,Gyeongguk National University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:1e0dd88726fb992c,Chonnam National University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
A_public_referenced,A_must_be_actionable,institution:1f939a5a9221dfb6,"Beijing IrisKing Co., Ltd.",1,curated:a0c532923fe10a4ee7c0,Enhancing Deepfake Detection with Diversified Self-Blending Images and Residuals,public_relevant_missing_coordinates,active,pending_review/needs_coordinate_review/needs_coordinate_review,"Beijing IrisKing Company Ltd., Beijing, China | Beijing | China | Focused public review 2026-08-27: Jing Liu is identified with Beijing IrisKing Company Ltd., Beijing, China (2024). A 2024 issuer disclosure lists registered residence at No. 9 North Fourth Ring West Road, floor 22, room 2210, while a 2022 disclosure lists Chengfu Road 45, Building F, room 401. Official company website failed TLS verification. No exact building point and paper-time operational-office link were verified; do not substitute the historical or current office.",Actionable location-review row is persisted.
C_dormant_registry_only,registry_only,institution:206ade2edf5e4762,King Abdulaziz University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:213a2f107c1f76df,Fujitsu (China),0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:221eb2f9c9da3e19,National Yunlin University of Science and Technology,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:228c9ed379a96dd8,Liaoning University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:27cf878705a6b15a,Islamia University of Bahawalpur,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:29f3e76214681290,UNSW Sydney,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:2c4c8a70b915edac,North South University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:2c6a3e642dd40a03,Shanghai Public Security Bureau,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:2d606ab01d8cb4a4,Hengyang Academy of Agricultural Sciences,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:2dd8e4fd2cb400d5,University of Aleppo,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:2e47d59ad1e8d5a4,Shahid Beheshti University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:2e732c4601154ff1,Origin Quantum Computing Technology Company (China),0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
A_public_referenced,A_must_be_actionable,institution:2f2a5a5c1021efe4,Huya Inc.,1,curated:4b042ad660312ec3b338,Evasion on General GAN-Generated Image Detection by Disentangled Representation,public_relevant_missing_coordinates,active,pending_review/needs_coordinate_review/needs_coordinate_review,"Huya Inc, Guangzhou, 510006, China | Guangzhou | China | Focused public review 2026-08-27: Publisher PDF visually rechecked: Xiao Meng has affiliation d, Huya Inc, Guangzhou, 510006, China (2024). Executive-office address uses 511446. No primary evidence ties the 510006 affiliation to an exact office/building; headquarters and Guangzhou city centroid cannot be substituted. Region: Guangdong.",Actionable location-review row is persisted.
C_dormant_registry_only,registry_only,institution:2f4b9adadf7f5004,Chongqing University of Science and Technology,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:2f4cdd3b31b9a5db,China Telecom,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
B_referenced_non_public,B_explicitly_non_actionable,institution:3258076c1e752ff2,TU Wien,1,curated:6e9b86dace6a85f4469c,Towards Explaining Classification Models in Security with Sparse Autoencoders,excluded_from_public_preview_and_map,active,pending_review/needs_coordinate_review/missing,TU Wien | AT,Durable active paper exclusion: out_of_scope.
C_dormant_registry_only,registry_only,institution:32e3542f42f3fe45,University of Wollongong in Dubai,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:330ddee32a318616,Microsoft Research (United Kingdom),0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:33d54ba20fb76125,Fujitsu (Japan),0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:33f2056ddfd46aaa,International Institute of Information Technology,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:35caf31d5104b996,"Polytechnic Institute of Turin, Turin, Italy",0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:36c5630e014fb5d7,King Saud University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:37ea83da28e11ff2,Southwest University of Science and Technology,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:39fe5b3a0cd3dd7c,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:3be1ce40ea53f6d2,Data61,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:3cef1f53ea25d8c9,East Tennessee State University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:3fca37dd4c8d3e60,China Mobile (China),0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:4057e1737c20bdb9,Fakir Mohan University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:41f10ac519a66555,Queensland University of Technology,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:424b7d284db388e3,Tunghai University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:42c60ebb24e9f839,Fraunhofer Institute for Industrial Mathematics,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
C_dormant_registry_only,registry_only,institution:4423bec9199a5d47,GLA University,0,,,not_referenced_by_active_mapping,active,,,No active or needs-review paper mapping references this identity.
A_public_referenced,A_must_be_actionable,institution:44469d661cb0034c,JD.com,1,curated:60066ef08c2226131085,Detecting GAN Generated Fake Images Using Co-Occurrence Matrices,public_relevant_missing_coordinates,active,pending_review/needs_coordinate_review/needs_coordinate_review,JD.com | Focused public review 2026-08-27: Paper confirms JD.com affiliation but does not identify the author's office/site; headquarters cannot be substituted for paper-specific location. Publisher title page visually rechecked; do not infer Beijing headquarters or a US office.,Actionable location-review row is persisted.
