title,year,normalized_title,openalex_url,doi,author,author_position,raw_affiliation,institution,city,region,country,country_code,latitude,longitude,institution_source,confidence,needs_manual_review,notes
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Tianyun Yang,1,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China","Institute of Computing Technology, Chinese Academy of Sciences",Beijing,Beijing,China,CN,,,ar5iv/arXiv HTML first page,high,yes,Author has affiliation markers 1 and 2. Primary canonical institution recorded as ICT CAS; secondary affiliation University of Chinese Academy of Sciences kept in raw_affiliation.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Juan Cao,2,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China","Institute of Computing Technology, Chinese Academy of Sciences",Beijing,Beijing,China,CN,,,ar5iv/arXiv HTML first page,high,yes,Author has affiliation markers 1 and 2. Primary canonical institution recorded as ICT CAS; secondary affiliation University of Chinese Academy of Sciences kept in raw_affiliation.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,"Sheng, Qiang",3,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China","Institute of Computing Technology, Chinese Academy of Sciences",Beijing,Beijing,China,CN,,,ar5iv/arXiv HTML first page,high,yes,Author has affiliation markers 1 and 2. Primary canonical institution recorded as ICT CAS; secondary affiliation University of Chinese Academy of Sciences kept in raw_affiliation.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Lei Li,4,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China","Institute of Computing Technology, Chinese Academy of Sciences",Beijing,Beijing,China,CN,,,ar5iv/arXiv HTML first page,high,yes,Author has affiliation markers 1 and 2. Primary canonical institution recorded as ICT CAS; secondary affiliation University of Chinese Academy of Sciences kept in raw_affiliation.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Jiaqi Ji,5,Renmin University of China,Renmin University of China,Beijing,Beijing,China,CN,39.9075,116.39723,ar5iv/arXiv HTML first page,high,no,Author-affiliation mapping verified from ar5iv/arXiv HTML first page; affiliation marker 3. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Xirong Li,6,Renmin University of China,Renmin University of China,Beijing,Beijing,China,CN,39.9075,116.39723,ar5iv/arXiv HTML first page,high,no,Author-affiliation mapping verified from ar5iv/arXiv HTML first page; affiliation marker 3. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Sheng Tang,7,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China","Institute of Computing Technology, Chinese Academy of Sciences",Beijing,Beijing,China,CN,,,ar5iv/arXiv HTML first page,high,yes,Author has affiliation markers 1 and 2. Primary canonical institution recorded as ICT CAS; secondary affiliation University of Chinese Academy of Sciences kept in raw_affiliation.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Chen Chen,1,Sony AI,Sony AI,,,,,,,NeurIPS PDF first page,high,yes,Author-affiliation mapping verified from NeurIPS PDF first page. Location left empty because the paper page does not specify an office location.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Lingjuan Lyu,2,Sony AI,Sony AI,,,,,,,NeurIPS PDF first page,high,yes,Author-affiliation mapping verified from NeurIPS PDF first page. Location left empty because the paper page does not specify an office location.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Shiqing Ma,3,University of Massachusetts Amherst,University of Massachusetts Amherst,Amherst,Massachusetts,United States,US,,,NeurIPS PDF first page,high,yes,Author-affiliation mapping verified from NeurIPS PDF first page.
