title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,yes,What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery,2026,0.970,https://openalex.org/W7131430408,https://doi.org/10.1109/ccwc67433.2026.11393845,,journal,https://doi.org/10.1109/ccwc67433.2026.11393845,false,Best result from 2 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output. 1 query variant(s) failed.
Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2025,weak_match,Deep Learning-Based Change Detection in Remote Sensing Images: A Review,2022,0.482,https://openalex.org/W4213124617,https://doi.org/10.3390/rs14040871,Remote Sensing,journal,https://doi.org/10.3390/rs14040871,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
An Adversarial Approach for Anti-Detection of AI Generated Images through Sample Generation,2025,weak_match,Application of generative adversarial networks (GAN) for ophthalmology image domains: a survey,2022,0.396,https://openalex.org/W4210482911,https://doi.org/10.1186/s40662-022-00277-3,Eye and Vision,journal,https://doi.org/10.1186/s40662-022-00277-3,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2025,yes,AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,1.000,https://openalex.org/W4387994353,https://doi.org/10.48550/arxiv.2310.17419,arXiv (Cornell University),preprint,http://arxiv.org/abs/2310.17419,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,yes,Are GAN Generated Images Easy to Detect? A Critical Analysis of the State-Of-The-Art,2021,1.000,https://openalex.org/W3149674875,https://doi.org/10.1109/icme51207.2021.9428429,,preprint,https://doi.org/10.1109/icme51207.2021.9428429,false,Best result from 2 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output. 1 query variant(s) failed.
Are High-Quality AI-Generated Images More Difficult for Models to Detect?,2025,weak_match,Comparative Protein Structure Modeling Using MODELLER,2016,0.352,https://openalex.org/W4211196614,https://doi.org/10.1002/cpbi.3,Current Protocols in Bioinformatics,journal,https://doi.org/10.1002/cpbi.3,false,Best result from 2 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output. 1 query variant(s) failed.
"Art or Artifact? Segmenting AI-Generated Images for Deeper Detection. WDC, 2025",2025,yes,Art or Artifact? Segmenting AI-Generated Images for Deeper Detection,2025,0.967,https://openalex.org/W4411979039,https://doi.org/10.1145/3709022.3736544,,journal,https://doi.org/10.1145/3709022.3736544,false,Best result from 2 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output. 1 query variant(s) failed.
Bridging the Gap Between Ideal and Real-world Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,weak_match,Performance of ChatGPT on USMLE: Potential for AI-assisted medical education using large language models,2023,0.407,https://openalex.org/W4319662928,https://doi.org/10.1371/journal.pdig.0000198,PLOS Digital Health,journal,https://doi.org/10.1371/journal.pdig.0000198,false,Best result from 3 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,yes,Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,1.030,https://openalex.org/W4411378016,https://doi.org/10.1145/3733102.3733138,,journal,https://doi.org/10.1145/3733102.3733138,false,Best result from 2 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output. 1 query variant(s) failed.
Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,yes,Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,1.030,https://openalex.org/W4413155783,https://doi.org/10.1109/cvpr52734.2025.00772,,journal,https://doi.org/10.1109/cvpr52734.2025.00772,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
DBINDS - Can Initial Noise from Diffusion Model Inversion Help Reveal AI-Generated Videos?,2025,yes,DBINDS -- Can Initial Noise from Diffusion Model Inversion Help Reveal AI-Generated Videos?,2025,1.030,https://openalex.org/W4416223703,https://doi.org/10.48550/arxiv.2511.09184,ArXiv.org,preprint,http://arxiv.org/abs/2511.09184,false,Best result from 2 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output. 1 query variant(s) failed. Excluded from import-ready output because generated_video_detection is unsupported.
Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,yes,Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,1.030,https://openalex.org/W4409917780,https://doi.org/10.1109/wacvw65960.2025.00087,,journal,https://doi.org/10.1109/wacvw65960.2025.00087,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,yes,Evolution of Detection Performance Throughout the Online Lifespan of Synthetic Images,2025,1.030,https://openalex.org/W4410888267,https://doi.org/10.1007/978-3-031-92648-8_24,Lecture notes in computer science,book,https://doi.org/10.1007/978-3-031-92648-8_24,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,yes,Fixed-Threshold Evaluation of a Hybrid CNN-ViT for AI-Generated Image Detection Across Photos and Art,2025,1.030,https://openalex.org/W7117537373,https://doi.org/10.48550/arxiv.2512.21512,arXiv (Cornell University),preprint,https://doi.org/10.48550/arxiv.2512.21512,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,yes,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,1.030,https://openalex.org/W4416610205,https://doi.org/10.48550/arxiv.2505.23192,ArXiv.org,preprint,http://arxiv.org/abs/2505.23192,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,yes,ForensicHub: A Unified Benchmark &amp; Codebase for All-Domain Fake Image Detection and Localization,2025,1.009,https://openalex.org/W4417093490,https://doi.org/10.48550/arxiv.2505.11003,ArXiv.org,preprint,http://arxiv.org/abs/2505.11003,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
FragFake: A Dataset for Fine-Grained Detection of Edited Images with Vision Language Models. 20250x0x,2025,no_match,,,,,,,,,,No OpenAlex results for retry title variants.
"Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection of Generated Images and the Impact of Prompts. GenAIDetect, 2025",2025,weak_match,GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge,2025,0.404,https://openalex.org/W4406486042,https://doi.org/10.48550/arxiv.2501.08913,ArXiv.org,preprint,http://arxiv.org/abs/2501.08913,false,Best result from 2 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
Is Artificial Intelligence Generated Image Detection a Solved Problem?,2025,weak_match,Artificial Intelligence in Education: A Review,2020,0.649,https://openalex.org/W3017131514,https://doi.org/10.1109/access.2020.2988510,IEEE Access,journal,https://doi.org/10.1109/access.2020.2988510,false,Best result from 2 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output. 1 query variant(s) failed.
Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,yes,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,1.030,https://openalex.org/W4414970554,https://doi.org/10.48550/arxiv.2510.03840,ArXiv.org,preprint,http://arxiv.org/abs/2510.03840,false,Best result from 1 conservative retry title variant(s). Only match_status=yes is eligible for import-ready output.
