title,diagnosis,recommended_action,notes
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
Deepfake Network Architecture Attribution,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
RepMix: Representation Mixing for Robust Attribution of Synthesized Images,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
Reverse engineering of generative models: Inferring model hyperparameters from generated images,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
Detection of GAN-Generated Images by Estimating Artifact Similarity,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
GenDet: Towards Good Generalizations for AI-Generated Image Detection,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
Advanced Detection of AI-Generated Images Through Vision Transformers,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
Detecting Multimedia Generated by Large AI Models: A Survey,in_openalex_candidate_pool_but_not_in_in_scope_file,key_paper_should_bypass_auto_scope_filter_then_enrich_affiliations,Manually curated key paper; should not be treated as out-of-scope.
Learning to Disentangle GAN Fingerprint for Fake Image Attribution,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
Where Did I Come From? Origin Attribution of AI-Generated Images,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
A Single Simple Patch is All You Need for AI-generated Image Detection,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
A Sanity Check for AI-generated Image Detection,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
AI-generated Image Detection: Passive or Watermark?,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
GenImage: A Million-Scale Benchmark for Detecting AI-Generated Image,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
WildFake: A Large-scale Challenging Dataset for AI-Generated Images Detection,in_in_scope_file_but_missing_local_affiliation_records,enrich_authorship_affiliation_institution_coordinates,No local institution-like records found; cannot generate map markers yet.
