title,year,expected_task,source_doc,section,recommended_action,notes
Scalable fine-grained generated image classification based on deep metric learning,2019,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,"source_suffix=arXiv, 2019"
Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,Identification | Detection,manual_or_openalex_title_import_review,"source_suffix=ICML, 2020"
Does a GAN leave distinct model-specific fingerprints?,2021,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,source_suffix=BMVC 2021
On attribution of deepfakes,2021,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,source_suffix=arXiv 20210303
Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery,2022,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,source_suffix=IJCNN 2022
Progressive Open Space Expansion for Open-Set Model Attribution,2023,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,source_suffix=CVPR 2023
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,source_suffix=CVPR Workshops 2023
Open Set Synthetic Image Source Attribution,2023,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,source_suffix=BMVC 2023
ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,source_attribution,Z_Update_SIA.docx,Identification,manual_or_openalex_title_import_review,"source_suffix=CVPR, 2024"
Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,"source_suffix=WIFS, 2024"
Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,source_attribution,Z_Update_SIA.docx,Identification,manual_or_openalex_title_import_review,"source_suffix=ECCV Workshop, 2024"
Model Synthesis for Zero-Shot Model Attribution,2025,source_attribution,Z_Update_SIA.docx,Identification,manual_or_openalex_title_import_review,"source_suffix=TMM, 2025"
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,detection_and_source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,"source_suffix=WACV, 2025"
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250311; source_suffix=arXiv, 2025"
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250410; source_suffix=arXiv, 2025"
FIDAVL: Fake Image Detection and Attribution using Vision-Language Model,2024,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,manual_or_openalex_title_import_review,"source_suffix=ICPR, 2024"
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Literature summary | Detection,manual_or_openalex_title_import_review,"source_suffix=ICASSP, 2025"
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250404"
How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,manual_or_openalex_title_import_review,"source_suffix=ICML, 2024"
Single-Model Attribution of Generative Models Through Final-Layer Inversion,2024,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,manual_or_openalex_title_import_review,"source_suffix=ICML, 2024"
"Attributing and Detecting Fake Images Generated by Known GANs. SPW, 2020",2020,detection_and_source_attribution,Z_Update_SIA.docx,Verification | Literature summary,manual_or_openalex_title_import_review,
Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,manual_or_openalex_title_import_review,"source_suffix=ECCV, 2024"
FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images. 20250708,2025,source_attribution,Z_Update_SIA.docx,Verification,manual_or_openalex_title_import_review,source_suffix=arXiv
Detecting and Simulating Artifacts in GAN Fake Images,2019,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=WIFS 2019
CNN-generated images are surprisingly easy to spot...for now,2020,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Fourier Spectrum Discrepancies in Deep Network Generated Images,2020,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=IJCAI, 2021"
Detecting Generated Images by Real Images,2022,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ECCV, 2022"
BiHPF: bilateral high pass filters for robust deepfake detection,2022,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=WACV, 2022"
Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,2023,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Exposing fake images generated by text-to-image diffusion models,2023,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=arXiv 2023
Detecting Generated Images by Real Images Only,2023,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=arXiv 2023
"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Shadows Don't Lie and Lines Can't Bend! Generative Models don't know Projective Geometry...for now,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=AAAI, 2024; source_alias=(FreqNet)"
DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=ICML 2024
