candidate_id,canonical_title,authors,year,venue,doi,arxiv_id,openalex_id,discovery_channels,discovery_sources,venue_year_sources,citation_seeds,surveys,benchmark_lineages,normalized_title_match,matched_corpus_paper_id,matched_exclusion_id,proposed_forensic_task,proposed_image_scope,proposed_research_type,identity_evidence,scope_evidence,primary_evidence_url,final_status,confidence,rationale,manual_review,discovery_passes,observation_count,observation_provenance,method_acronym_matches
audit:0113f3337924350f,"""Category-level Object Detection, Pose Estimation and Reconstruction from Stereo Images""",,2024,ECCV 2024 and earlier proceedings,,,,A,https://www.ecva.net/papers.php,ECCV 2024 and earlier proceedings,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.","object/scene recognition, not synthetic-image forensics",,OUT_OF_SCOPE,medium,"object/scene recognition, not synthetic-image forensics",false,1,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 1, ""discovery_source"": ""https://www.ecva.net/papers.php"", ""rank"": 907, ""raw_path"": ""data/raw/systematic_literature_2026_09/63731d98eca600658d63.gz"", ""retrieval_bound"": ""returned source; see source manifest"", ""seed"": ""ECCV 2024 and earlier proceedings"", ""source_record_id"": ""https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/5039_ECCV_2024_paper.php""}]",
audit:51aefcff060aabb0,"""Not Just Change the Labels, Learn the Features: Watermarking Deep Neural Networks with Multi-View Data""",,2024,ECCV 2024 and earlier proceedings,,,,A,https://www.ecva.net/papers.php,ECCV 2024 and earlier proceedings,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.",Model/3D asset ownership or embedded watermark robustness is the target; no image-level synthetic-media forensic endpoint established.,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/8221_ECCV_2024_paper.php,OUT_OF_SCOPE,medium,Model/3D asset ownership or embedded watermark robustness is the target; no image-level synthetic-media forensic endpoint established.,false,1,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 1, ""discovery_source"": ""https://www.ecva.net/papers.php"", ""rank"": 1739, ""raw_path"": ""data/raw/systematic_literature_2026_09/63731d98eca600658d63.gz"", ""retrieval_bound"": ""returned source; see source manifest"", ""seed"": ""ECCV 2024 and earlier proceedings"", ""source_record_id"": ""https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/8221_ECCV_2024_paper.php""}]",
audit:f8dc8cfbaed30168,"""Unsupervised, Online and On-The-Fly Anomaly Detection For Non-Stationary Image Distributions""",,2024,ECCV 2024 and earlier proceedings,,,,A,https://www.ecva.net/papers.php,ECCV 2024 and earlier proceedings,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.",anomaly/OOD detection with generative models as tools,,OUT_OF_SCOPE,medium,anomaly/OOD detection with generative models as tools,false,1,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 1, ""discovery_source"": ""https://www.ecva.net/papers.php"", ""rank"": 1639, ""raw_path"": ""data/raw/systematic_literature_2026_09/63731d98eca600658d63.gz"", ""retrieval_bound"": ""returned source; see source manifest"", ""seed"": ""ECCV 2024 and earlier proceedings"", ""source_record_id"": ""https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/7868_ECCV_2024_paper.php""}]",
audit:95f536f6759ad0e8,$\texttt{dattri}$: A Library for Efficient Data Attribution,,2024,NeurIPS 2024,,,,A,https://papers.nips.cc/paper_files/paper/2024,NeurIPS 2024,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.","feature/data/causal attribution or model explanation, not generator-source attribution",,OUT_OF_SCOPE,medium,"feature/data/causal attribution or model explanation, not generator-source attribution",false,1,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 1, ""discovery_source"": ""https://papers.nips.cc/paper_files/paper/2024"", ""rank"": 4344, ""raw_path"": ""data/raw/systematic_literature_2026_09/19dd7d6e7b38ec70fd92.gz"", ""retrieval_bound"": ""returned source; see source manifest"", ""seed"": ""NeurIPS 2024"", ""source_record_id"": ""https://papers.nips.cc/paper_files/paper/2024/hash/f732683302d91e47610b2416b4977a66-Abstract-Datasets_and_Benchmarks_Track.html""}]",
audit:fff42500664b8998,$\text{I}^2\text{AM}$: Interpreting Image-to-Image Latent Diffusion Models via Bi-Attribution Maps,"Park, Junseo; Jang, Hyeryung",2025,International Conference on Learning Representations,,,,A,https://proceedings.iclr.cc/paper_files/paper/2025,ICLR 2025 official proceedings,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.","Screened as background generation, recognition, general explanation, or another non-forensic target; no synthetic-image detection, generator attribution, or manipulation-localization contribution identified.",https://proceedings.iclr.cc/paper_files/paper/2025/hash/c4a59e985de8b134328f41a47bc7dfac-Abstract-Conference.html,OUT_OF_SCOPE,medium,"Screened as background generation, recognition, general explanation, or another non-forensic target; no synthetic-image detection, generator attribution, or manipulation-localization contribution identified.",false,6,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 6, ""discovery_source"": ""https://proceedings.iclr.cc/paper_files/paper/2025"", ""rank"": 2860, ""raw_path"": ""data/raw/systematic_literature_2026_09/7861eef6d7e3b42697eb.gz"", ""retrieval_bound"": ""complete official returned book index"", ""seed"": ""ICLR 2025 official proceedings"", ""source_record_id"": ""https://proceedings.iclr.cc/paper_files/paper/2025/hash/c4a59e985de8b134328f41a47bc7dfac-Abstract-Conference.html""}]",
audit:6d20b1c5fa529fc6,2D-OOB: Attributing Data Contribution Through Joint Valuation Framework,"Sun, Yifan; Shen, Jingyan; Kwon, Yongchan",2024,Advances in Neural Information Processing Systems,10.52202/079017-1483,,,A,https://papers.nips.cc/paper_files/paper/2024,NeurIPS 2024,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.","feature/data/causal attribution or model explanation, not generator-source attribution",https://papers.nips.cc/paper_files/paper/2024/hash/531998dc1fc858b5857a90b74d96ecab-Abstract-Conference.html,OUT_OF_SCOPE,medium,"feature/data/causal attribution or model explanation, not generator-source attribution",false,1,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 1, ""discovery_source"": ""https://papers.nips.cc/paper_files/paper/2024"", ""rank"": 1482, ""raw_path"": ""data/raw/systematic_literature_2026_09/19dd7d6e7b38ec70fd92.gz"", ""retrieval_bound"": ""returned source; see source manifest"", ""seed"": ""NeurIPS 2024"", ""source_record_id"": ""https://papers.nips.cc/paper_files/paper/2024/hash/531998dc1fc858b5857a90b74d96ecab-Abstract-Conference.html""}]",
audit:8d242db398166103,2D3D-MATR: 2D-3D Matching Transformer for Detection-Free Registration Between Images and Point Clouds,,2023,ICCV2023,,,,A,https://openaccess.thecvf.com/ICCV2023?day=all,ICCV2023,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.","Screened as background generation, recognition, general explanation, or another non-forensic target; no synthetic-image detection, generator attribution, or manipulation-localization contribution identified.",,OUT_OF_SCOPE,medium,"Screened as background generation, recognition, general explanation, or another non-forensic target; no synthetic-image detection, generator attribution, or manipulation-localization contribution identified.",false,1,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 1, ""discovery_source"": ""https://openaccess.thecvf.com/ICCV2023?day=all"", ""rank"": 625, ""raw_path"": ""data/raw/systematic_literature_2026_09/cec22e81d620ae527127.gz"", ""retrieval_bound"": ""returned source; see source manifest"", ""seed"": ""ICCV2023"", ""source_record_id"": ""https://openaccess.thecvf.com/content/ICCV2023/html/Li_2D3D-MATR_2D-3D_Matching_Transformer_for_Detection-Free_Registration_Between_Images_and_ICCV_2023_paper.html""}]",
audit:d79eaedd3c7687db,3D differential decomposition for video deepfake detection with identity suppression,Jie Gao; Marco Micheletto; Giulia Orrù; Xiaoyi Feng; Gian Luca Marcialis,2026,Signal Processing Image Communication,10.1016/j.image.2026.117525,,w7131219055,B,https://api.openalex.org/works?filter=cites%3AW4388858946%2Cto_publication_date%3A2026-09-12&sort=publication_date%3Adesc&per-page=50,,DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.",The declared endpoint is video/temporal or audio-visual forensics; no separate image-level contribution was established in the available evidence.,,OUT_OF_SCOPE,medium,The declared endpoint is video/temporal or audio-visual forensics; no separate image-level contribution was established in the available evidence.,false,2,1,"[{""channel"": ""B"", ""direction"": ""CITED_BY"", ""discovery_pass"": 2, ""discovery_source"": ""https://api.openalex.org/works?filter=cites%3AW4388858946%2Cto_publication_date%3A2026-09-12&sort=publication_date%3Adesc&per-page=50"", ""rank"": 20, ""raw_path"": ""data/raw/systematic_literature_2026_09/2554e5b57b6a121f3e5b.gz"", ""retrieval_bound"": 50, ""seed"": ""DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models"", ""source_record_id"": ""https://openalex.org/W7131219055""}]",
audit:3645ccc2efc60c7b,3D-GSW: 3D Gaussian Splatting for Robust Watermarking,,2025,CVPR2025,,,,A,https://openaccess.thecvf.com/CVPR2025?day=all,CVPR2025,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.",Model/3D asset ownership or embedded watermark robustness is the target; no image-level synthetic-media forensic endpoint established.,,OUT_OF_SCOPE,medium,Model/3D asset ownership or embedded watermark robustness is the target; no image-level synthetic-media forensic endpoint established.,false,1,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 1, ""discovery_source"": ""https://openaccess.thecvf.com/CVPR2025?day=all"", ""rank"": 1026, ""raw_path"": ""data/raw/systematic_literature_2026_09/920b1b6830b3858c91f1.gz"", ""retrieval_bound"": ""returned source; see source manifest"", ""seed"": ""CVPR2025"", ""source_record_id"": ""https://openaccess.thecvf.com/content/CVPR2025/html/Jang_3D-GSW_3D_Gaussian_Splatting_for_Robust_Watermarking_CVPR_2025_paper.html""}]",
audit:33174f74d8eff2a4,3DiffTection: 3D Object Detection with Geometry-Aware Diffusion Features,,2024,CVPR2024,,,,A,https://openaccess.thecvf.com/CVPR2024?day=all,CVPR2024,,,,,,,,,,"DOI/arXiv/OpenAlex, normalized/typographic title and reviewed aliases checked against 620 public papers and active exclusions; no confirmed match. Authors/year/venue, method/acronym and bounded fuzzy suggestions were considered; observed publication/preprint IDs are preserved, not promoted to curated aliases.","object/scene recognition, not synthetic-image forensics",,OUT_OF_SCOPE,medium,"object/scene recognition, not synthetic-image forensics",false,1,1,"[{""channel"": ""A"", ""direction"": """", ""discovery_pass"": 1, ""discovery_source"": ""https://openaccess.thecvf.com/CVPR2024?day=all"", ""rank"": 2548, ""raw_path"": ""data/raw/systematic_literature_2026_09/55382925aba53887a9d5.gz"", ""retrieval_bound"": ""returned source; see source manifest"", ""seed"": ""CVPR2024"", ""source_record_id"": ""https://openaccess.thecvf.com/content/CVPR2024/html/Xu_3DiffTection_3D_Object_Detection_with_Geometry-Aware_Diffusion_Features_CVPR_2024_paper.html""}]",
