paper_id,display_id,actionable_id,title,year,doi,openalex_url,current_type,current_venue,current_abbreviation,current_track,current_venue_id,proposed_type,proposed_name,proposed_abbreviation,proposed_venue_id,proposed_track,reason,review_type,recommended_action,evidence_url,manual_review,source_fingerprint
curated:cb237bfcbc395a031757,openalex:W4393021531,venue:11bbe7b94dadaf8b92c9:curated:cb237bfcbc395a031757,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,2024,10.62304/jieet.v3i01.77,https://openalex.org/W4393021531,journal,"Global Mainstream Journal of Innovation, Engineering & Emerging Technology",,,venue:global-mainstream-journal-of-innovation-engineering-emerging-technology,journal,"Global Mainstream Journal of Innovation, Engineering & Emerging Technology",,venue:global-mainstream-journal-of-innovation-engineering-emerging-technology,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",,True,11bbe7b94dadaf8b92c9ada8938c7a33e4ea81649c68a97f85dc2ec72f1ac08a
,openalex:W7117078863,venue:b95952f7158a7917d4e1:openalex:W7117078863,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,,https://openalex.org/W7117078863,preprint,arXiv,,,venue:arxiv,preprint,arXiv,,venue:arxiv,,arXiv reports a formal publication/acceptance or forthcoming book chapter: Accepted at DFF ACM Multimedia 2026. Verify the final publisher record and venue before reclassifying.,publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",http://arxiv.org/abs/2512.17730v2,True,b95952f7158a7917d4e139e9494087360869630a27a48ab7d6c65adc716adba7
,openalex:W4411979039,venue:a38f030a3c73c4d230a3:openalex:W4411979039,Art or Artifact? Segmenting AI-Generated Images for Deeper Detection,2025,10.1145/3709022.3736544,https://openalex.org/W4411979039,conference,Workshop on Security Implications of Deepfakes and Cheapfakes,WDC,Workshop,venue:workshop-on-security-implications-of-deepfakes-and-cheapfakes,conference,Workshop on Security Implications of Deepfakes and Cheapfakes,WDC,venue:workshop-on-security-implications-of-deepfakes-and-cheapfakes,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://sites.google.com/view/wdc-2025/home,True,a38f030a3c73c4d230a326543ed7e4f821ca359d6f67e27b65f7bc4471478800
curated:1bf124f8f57f00dddd01,openalex:W7160429386,venue:616f38fe8267aa7e5e3f:curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,10.1145/3810988.3812662,https://openalex.org/W7160429386,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,Workshop,venue:mad,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,venue:mad,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.sigmm.org/opentoc/MAD2022-TOC,True,616f38fe8267aa7e5e3fe63619c30152e6c7cb78f91ae7c06595bedfed04a914
,openalex:W4411378016,venue:b209effefb46f7478a1f:openalex:W4411378016,Can GPT Tell Us Why These Images Are Synthesized? Empowering Multimodal Large Language Models for Forensics,2025,10.1145/3733102.3733138,https://openalex.org/W4411378016,conference,ACM Workshop on Information Hiding and Multimedia Security,IH&MMSec,Workshop,venue:ih-mmsec,conference,ACM Workshop on Information Hiding and Multimedia Security,IH&MMSec,venue:ih-mmsec,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.ihmmsec.org/cms/front_content.php?changelang=2&idart=241&idcat=69,True,b209effefb46f7478a1f26ce1dfc6bf09b0a5372541907268e5eb086f748d040
curated:a3fb37f39cb20a95e3bf,openalex:W7169086594,venue:de797b80a77e14815cf1:curated:a3fb37f39cb20a95e3bf,Can Model Attribution Bridge AI's Accountability Gap in Safety-Critical Domains?,2026,10.1098/rsta.2025.0117,https://openalex.org/W7169086594,journal,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,,,,journal,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",,venue:philosophical-transactions-of-the-royal-society-a-mathematical-physical-and-engineering-sciences,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1098%2Frsta.2025.0117,True,de797b80a77e14815cf1cb3f9f60905a9438fbea7cadb5087dcbba77c5f8af9f
,openalex:W3044151627,venue:14982dfafe17bd0701c5:openalex:W3044151627,CNN Detection of GAN-Generated Face Images based on Cross-Band Co-occurrences Analysis,2020,10.1109/wifs49906.2020.9360905,https://openalex.org/W3044151627,conference,IEEE International Workshop on Information Forensics and Security,WIFS,Workshop,venue:wifs,conference,IEEE International Workshop on Information Forensics and Security,WIFS,venue:wifs,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1109%2Fwifs49906.2020.9360905,True,14982dfafe17bd0701c5ecb2af6ff79b922f2590cf2e56b4cbf19a5667ade9ba
curated:ba0669dd843c9defd483,openalex:W7164888959,venue:9fa6ac8df17906d877fb:curated:ba0669dd843c9defd483,Comparative Study of Adversarial Training and Randomized Smoothing for Robust AI-Generated Image Attribution,2026,10.1145/3785353.3815073,https://openalex.org/W7164888959,conference,ACM Workshop on Information Hiding and Multimedia Security,IH&MMSec,Workshop,venue:ih-mmsec,conference,ACM Workshop on Information Hiding and Multimedia Security,IH&MMSec,venue:ih-mmsec,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.ihmmsec.org/cms/front_content.php?changelang=2&idart=241&idcat=69,True,9fa6ac8df17906d877fb18948fc310d307fb94cb034eff3c2a69aa0a32fefc67
curated:0895eb11a7610f3973da,openalex:W7164884130,venue:e8e2366b27719486571a:curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,2026,10.1145/3785353.3815097,https://openalex.org/W7164884130,conference,ACM Workshop on Information Hiding and Multimedia Security,IH&MMSec,Workshop,venue:ih-mmsec,conference,ACM Workshop on Information Hiding and Multimedia Security,IH&MMSec,venue:ih-mmsec,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.ihmmsec.org/cms/front_content.php?changelang=2&idart=241&idcat=69,True,e8e2366b27719486571a84f4225713cc3815e6c31cd68f9df5e449edb308451d
,openalex:W4283452332,venue:27d249512ac909c685ef:openalex:W4283452332,Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection,2022,10.1145/3512732.3533582,https://openalex.org/W4283452332,conference,ACM International Conference on Multimedia Retrieval,ICMR,Workshop,venue:icmr,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,venue:mad,Main,"The ACM SIGMM paper-level proceedings identify MAD, a separately named workshop, while the selected record is its host ICMR. Confirm whether this record should use the preserved standalone MAD identity (Main) or a deliberately curated ICMR Workshop representation; do not silently merge the two venues.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.sigmm.org/opentoc/MAD2022-TOC,True,27d249512ac909c685efd22fdb5fded5bcd856d01ccc37809357e8dab37ca4fb
