institution_id,english_canonical_name,local_name_alias,evidence,status,notes
institution:daff50b65ce469a3,Paris Cité University,Université Paris Cité,https://u-paris.fr/en/circle-u-opportunities-for-students/,approved,Official English university page uses Paris Cité University.
institution:f29a43c08a37e42f,Technical University of Darmstadt,Technische Universität Darmstadt,https://www.ulb.tu-darmstadt.de/media/ulb/alter_webauftritt/pflicht_epublishing/pdf_11/publikationsrichtlinie-en.pdf,approved,Official publication guidelines designate this as the binding English equivalent.
institution:4e4d723f7fa11734,Technical University of Madrid,Universidad Politécnica de Madrid,https://www.upm.es/internacional/UPM/Historical%20Summary,review,Official English history page uses Technical University of Madrid but that display name is already held by active institution:2d64a600151c6a44; identity resolution is required before any rename.
institution:eb0a1398c50d0281,University Paris-Est Créteil,Université Paris-Est Créteil,https://www.en.u-pec.fr/en/getting-to-upec,approved,Official English UPEC site uses University Paris-Est Créteil.
institution:cf2e81e79ecee1b8,Istanbul Nisantasi University,İstanbul Nişantaşı Üniversitesi,https://www.nisantasi.edu.tr/index2?dil=eng,approved,Official English site uses the unaccented English display.
institution:29645bb566fcd576,French National Centre for Scientific Research,Centre National de la Recherche Scientifique,https://www.cnrs.fr/en/press/uarizona-partners-french-national-centre-scientific-research-establish-france-arizona,approved,Official CNRS English site expands the organization name in English.
institution:afc29be68ac419be,Xi'an Jiaotong University,Xi’an Jiaotong University,https://en.xjtu.edu.cn/index.html,approved,Official English homepage uses the ASCII-apostrophe English name.
institution:7aae859eefe8edd1,Chang'an University,Chang’an University,https://en.chd.edu.cn/,approved,Official English homepage and address use the ASCII-apostrophe English name.
institution:ef7c68d6edbab550,Université Grenoble Alpes,,https://www.univ-grenoble-alpes.fr/english/,keep,Official English site retains Université Grenoble Alpes.
institution:66101d2ca048704e,Technische Universität Berlin,,https://www.tu.berlin/en/studying/study-programs,keep,Official English site retains Technische Universität Berlin as the heading and institutional name.
institution:73bb0fe265f6e090,Friedrich-Alexander-Universität Erlangen-Nürnberg,,https://www.fau.eu/,keep,Official international brand retains the German proper name and uses FAU as the short form.
institution:1ee9da20656fd88b,Politecnico di Milano,,https://www.polimi.it/en,keep,Official English site retains Politecnico di Milano.
institution:678fbbc18157fd45,École Polytechnique,,https://www.polytechnique.edu/en,keep,Official English site retains École Polytechnique.
institution:b0f3614b042aab47,Universiti Malaysia Sarawak,,https://www.unimas.my/,keep,Recognized official international name is Universiti Malaysia Sarawak.
institution:a8ed28b9013a59e5,Universiti Putra Malaysia,,https://www.upm.edu.my/?LANG=en,keep,Recognized official international name is Universiti Putra Malaysia.
institution:88b6a237229e50a1,University of Žilina,,https://www.uniza.sk/index.php/en/,keep,Official English name retains the Žilina place-name diacritic.
institution:5dc3b0fc32168ce3,Altınbaş University,,https://international.altinbas.edu.tr/,keep,Official English brand retains Altınbaş.
institution:bb302a0231577b3c,Haliç University,,https://halic.edu.tr/en,keep,Official English brand retains Haliç.
institution:5919d60e453e2459,Kahramanmaraş Sütçü İmam University,,https://www.ksu.edu.tr/Default.aspx?SId=1,keep,Official English-facing name retains the Turkish personal and place names.
institution:f4c98270ae3164c6,Karabük University,,https://www.karabuk.edu.tr/en,keep,Official English brand retains Karabük.
institution:d4c5c00e6ef405e5,University of Michigan–Flint,,https://www.umflint.edu/,keep,Already English; the dash is typography rather than a local-language signal.
institution:9e5e300bb52918ca,Technion – Israel Institute of Technology,,https://www.technion.ac.il/en/,keep,Established English international name; dash is typography.
institution:647c89e2c8a671f8,Association Clinique et Thérapeutique Infantile du Val de Marne,,,review,No sufficiently authoritative official English canonical name found; do not invent a translation.
institution:541450f1f663948c,ISTI-CNR,,,review,Acronym is an established international display but expansion and English branding require manual confirmation.
institution:f841aa8a7a0d29aa,Centre for Research and Technology Hellas (CERTH),,repository confirmed aliases,keep,Existing alias names a constituent institute and does not replace the English canonical organization.
institution:329f39cda413f721,Ho Chi Minh City University of Science,,repository confirmed aliases,keep,Current canonical name is already English; VNU-HCMC is a useful organizational alias.
institution:f8894017df3dfcc2,University of Galway,,repository confirmed aliases,keep,Current canonical is English and the bilingual Irish form remains an alias.
institution:966ff12833f90bb0,"Institute of Automation, Chinese Academy of Sciences",,repository confirmed aliases,keep,Short institute alias does not supersede the established English canonical name.
institution:e278f75918ccf8a7,"Institute of Computing Technology, Chinese Academy of Sciences",,repository confirmed aliases,keep,Short institute alias does not supersede the established English canonical name.
institution:cee70184073782c7,"Institute of Information Engineering, Chinese Academy of Sciences",,repository confirmed aliases,keep,Short institute alias does not supersede the established English canonical name.
institution:0008285766dcabc7,Northeastern University,,repository country-disambiguated aliases,keep,Chinese and country-qualified aliases preserve the China identity; never merge with the US institution.
institution:ff1a1bc95dbe91a8,Northeastern University,,repository country-disambiguated aliases,keep,Country-qualified aliases preserve the US identity; never merge with the China institution.
institution:1e2fe2432a089705,Polytechnic University of Hauts-de-France,,repository confirmed aliases,keep,Current canonical name is already English and the French form is intentionally retained as an alias.
institution:d046d2c57bb3a863,University of Naples Federico II,,repository confirmed aliases,keep,Current canonical name is already English; alternate English word order remains an alias.
institution:24e78a56f93457a5,City University of London,,repository confirmed aliases,keep,Current canonical name is already English; historical punctuation form remains an alias.
institution:4f85329e76bc9454,University at Buffalo,,repository confirmed aliases,keep,Current canonical name is already English; formal SUNY names remain aliases.
