paper_id,display_id,title,doi,arxiv_id,year,publication_type,venue,venue_id,venue_name,venue_acronym,venue_type,venue_track,raw_venue,venue_review_required,venue_review_reason,source_fingerprint
curated:75cbd31c9946c7eb7977,openalex:W4416604008,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",https://doi.org/10.1145/3772318.3791006,2505.22845,2026,conference,CHI Conference on Human Factors in Computing Systems,venue:chi,CHI Conference on Human Factors in Computing Systems,CHI,conference,Main,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,False,,d3270423666c649336e1c117dec0ee0c5c52272d1b9dfb11998ff85ce4b74869
curated:3da39d6e1e1f36089901,openalex:W4413145917,A Bias-Free Training Paradigm for More General AI-Generated Image Detection,10.1109/cvpr52734.2025.01741,2412.17671,2025,conference,IEEE/CVF Conference on Computer Vision and Pattern Recognition,venue:cvpr,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR,conference,Main,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),False,,5377df2f19bc2fd91c8b8fd4c6562e03055415311ef348b72cdd3f9ef849b3e6
,openalex:W3147384726,A Closer Look at Fourier Spectrum Discrepancies for CNN-Generated Images Detection,10.1109/cvpr46437.2021.00712,2103.17195,2021,conference,IEEE/CVF Conference on Computer Vision and Pattern Recognition,venue:cvpr,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR,conference,Main,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),False,,5103a7b30177224a96862a42ae8374eb3c550569433dd3e7cbd69a5308cbb3af
curated:cb237bfcbc395a031757,openalex:W4393021531,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,10.62304/jieet.v3i01.77,,2024,journal,"Global Mainstream Journal of Innovation, Engineering & Emerging Technology",venue:global-mainstream-journal-of-innovation-engineering-emerging-technology,"Global Mainstream Journal of Innovation, Engineering & Emerging Technology",,journal,,GLOBAL MAINSTREAM JOURNAL,True,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",11bbe7b94dadaf8b92c9ada8938c7a33e4ea81649c68a97f85dc2ec72f1ac08a
curated:2e30b7cfd7b0c6f427f1,openalex:W7202290304,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,10.1109/edm69524.2026.11632103,,2026,conference,International Conference of Young Professionals in Electron Devices and Materials,venue:international-conference-of-young-professionals-in-electron-devices-and-materials,International Conference of Young Professionals in Electron Devices and Materials,EDM,conference,Main,International Conference of Young Professionals in Electron Devices and Materials (EDM),False,,89083ef979cd35518104a97b2d593a7eae2f050cf865894284903571046fbec4
curated:1eb949d2e1adca5bb6cf,curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,,,2026,conference,IEEE/CVF Conference on Computer Vision and Pattern Recognition,venue:cvpr,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR,conference,Main,CVPR,False,,163a6b3a6f805a873ada951a0bad646da8dca0d9ebfe2ab8fb2d240356d4ed92
curated:53154d830e337fce1fad,openalex:W4406867188,A Deepfake Image Detection Method Based on a Multi-Graph Attention Network,10.3390/electronics14030482,,2025,journal,Electronics,venue:electronics,Electronics,ELECTRONICS-SWITZ,journal,,Electronics,False,,1cd48ac9b4c9c88133578773e6bfe8e5377c7b0dcc62948fec7230163bacb2b2
,openalex:W4386214843,A GAN-based Approach to Detect AI-Generated Images,10.1109/snpd-winter57765.2023.10223798,,2023,conference,"ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",venue:acis-international-winter-conference-on-software-engineering-artificial-intelligence-networking-and-parallel-distributed-computing,"ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD-Winter,conference,Main,"2023 26th ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)",False,,1ae83060895fb080884dbaf528d66b75d9a8a6dd7c57db1bf367fb636dfa8249
,openalex:W4393375171,A Guided-Based Approach for Deepfake Detection: RGB-Depth Integration via Features Fusion,10.1016/j.patrec.2024.03.025,,2024,journal,Pattern Recognition Letters,venue:pattern-recognition-letters,Pattern Recognition Letters,PRL,journal,,Pattern Recognition Letters,False,,c119b3dba3540893d93f70d7ad5d7a324100deaf9b34e7fa67f2b0fd5f1d046a
,openalex:W4395673009,A Hybrid CNN-LSTM Approach for Precision Deepfake Image Detection Based on Transfer Learning,10.3390/electronics13091662,,2024,journal,Electronics,venue:electronics,Electronics,ELECTRONICS-SWITZ,journal,,Electronics,False,,80e7fd53b09a5bb54084bc04f12900d169a6753f7f4b854b673a776334f41f83
,openalex:W4297988790,A Novel Deep Learning Approach for Deepfake Image Detection,10.3390/app12199820,,2022,journal,Applied Sciences,venue:applied-sciences,Applied Sciences,Appl. Sci.,journal,,Applied Sciences,False,,d492a8ca964a70e2093788b2dc5ade87f61577eaf5ebabfb56c656e317c0871b
,openalex:W4409047068,A Novel Framework for Deepfake Image Detection Using Deep Learning Approach,10.1109/lt64002.2025.10940759,,2025,conference,International Learning and Technology Conference,venue:international-learning-and-technology-conference,International Learning and Technology Conference,L&T,conference,Main,2025 22nd International Learning and Technology Conference (L&amp;T),False,,36bcf45792c25a25d58eb6782cfa6bda106e1d72bffd8a8d50fd08fc1e1ae99b
