institution_name,city,country,example_raw_affiliation_text,example_author_name,example_openalex_id,reason,suggested_match_key,current_latitude,current_longitude,manual_action,notes
Microsoft Research Asia (China),,,Microsoft Research Asia,Jianmin Bao,https://openalex.org/W4390873235,suspicious_generic_name,microsoft research asia china,39.9075,116.39723,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 8. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
Institute of Art,,,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",Wengang Zhou,https://openalex.org/W4390873235,suspicious_generic_name,institute of art,52.22977,21.01178,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 2. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
,,,Merchants Union Consumer Finance Company,Hong Chen,https://openalex.org/W4390873235,missing_coordinates;geocoding_failed,,,,add_manual_correction,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 255. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. Structured institution missing; preserved raw affiliation text for manual resolution. | Geocoding not attempted: institution, city, and country are missing; manual review required."
Adobe Systems (United States),,,Adobe Inc,David C. Epstein,https://openalex.org/W4390189958,suspicious_generic_name,adobe systems united states,37.33939,-121.89496,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 8. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
Google (United States),,,Google DeepMind,Ben Usman,https://openalex.org/W4413145917,suspicious_generic_name,google united states,37.38605,-122.08385,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 6. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
Google DeepMind (United Kingdom),,,Google DeepMind,Ben Usman,https://openalex.org/W4413145917,suspicious_generic_name,google deepmind united kingdom,51.50853,-0.12574,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 2. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
National Institute of Technology Karnataka,,,"NITK Surathkal,Dept. of IT,Karnataka,India",Niteesh Kumar,https://openalex.org/W4285362588,suspicious_generic_name,national institute of technology karnataka,12.91723,74.85603,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 4. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
Meta (United States),,,"Facebook AI, Menlo Park, CA, USA",Tal Hassner,https://openalex.org/W3173581984,suspicious_generic_name,meta united states,37.45383,-122.18219,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 1. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
National Institute of Standards and Technology,,,"National Institute of Standards and Technology, Gaithersburg, MD, USA | National Institute of Standards and Technology (NIST), Gaithersburg, MD, USA",Haiying Guan,https://openalex.org/W4386590781,suspicious_generic_name,national institute of standards and technology,39.14344,-77.20137,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 1. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
Microsoft (United States),,,Microsoft Responsible AI,Rui Xu,https://openalex.org/W4409262147,suspicious_generic_name,microsoft united states,47.67399,-122.12151,verify_coordinates,"Automatically generated from candidate metadata; not curated final data. Grouped candidate affiliation rows: 9. Example source note: Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
